TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
DEUX HOMMES DANS LA VILLE,2009-01-26,Arte,France/Italie,1.5106,5.8,Monday,non
LES AVENTURIERS,2009-08-10,Arte,France/Italie,1.5106,7.6,Monday,oui
ASTÉRIX ET LES VIKINGS,2009-10-27,W9,France,1.5106,5.6,Tuesday,oui
MR. AND MRS. SMITH,2009-03-09,W9,Etats-Unis,1.4525,5.8,Monday,non
"OSS 117 : LE CAIRE, NID D'ESPIONS",2009-10-13,W9,France,1.2201,4.7,Tuesday,non
ROCKY IV,2009-12-08,W9,Etats-Unis,1.2201,4.5,Tuesday,non
LES CHEVALIERS DU CIEL,2009-11-26,W9,France,1.2201,4.7,Thursday,non
LA GRANDE VADROUILLE,2009-12-20,TF1,France/Royaume-Uni,9.0636,33.1,Sunday,oui
ASTÉRIX ET OBÉLIX : MISSON CLÉOPÂTRE,2009-02-17,TF1,France,9.0055,35.5,Tuesday,oui
LA MAISON DU BONHEUR,2009-03-29,TF1,France,8.8312,34.0,Sunday,non
LA GUERRE DES MONDES,2009-02-15,TF1,Etats-Unis,8.4245,32.2,Sunday,oui
LE DÎNER DE CONS,2009-11-15,TF1,France,8.2502,30.1,Sunday,non
NOS JOURS HEUREUX,2009-04-23,M6,France,4.8804,20.6,Thursday,oui
"OSS 117 : LE CAIRE, NID D'ESPIONS",2009-04-06,M6,France,4.648,17.6,Monday,non
MILLION DOLLAR BABY,2009-11-05,M6,Etats-Unis,4.4156,19.0,Thursday,non
DA VINCI CODE,2009-10-01,M6,Etats-Unis,4.2994,19.4,Thursday,non
SIXIÈME SENS,2009-03-26,M6,Etats-Unis,4.1251,17.2,Thursday,non
LES CHORISTES,2010-01-10,France 2,France / CH,6.246339,22.4,Sunday,non
ZODIAC,2010-12-05,France 2,Etats-Unis,5.662569,22.7,Sunday,non
LA FAILLE,2010-05-16,France 2,Etats-Unis,5.370684,20.8,Sunday,non
DANS LA VALLÉE D'ELAH,2010-11-14,France 2,Etats-Unis,5.020422,19.6,Sunday,non
LE GOÛT DE LA VIE,2010-11-21,France 2,Etats-Unis,4.903668,17.9,Sunday,non
CAMPING,2010-04-27,France 3,France,7.121994,27.4,Tuesday,non
LE MUR DE L'ATLANTIQUE,2010-05-18,France 3,France / Italie,3.969636,15.4,Tuesday,non
GLADIATOR,2010-05-13,France 3,Etats-Unis,3.911259,17.6,Thursday,non
LA SOUPE AUX CHOUX,2010-07-05,France 3,France,3.852882,16.1,Monday,non
LES INCORRUPTIBLES,2010-09-09,France 3,Etats-Unis,3.736128,15.2,Thursday,non
RIDICULE,2010-12-20,Arte,France,1.634556,5.8,Monday,oui
LA JEUNE FILLE À LA PERLE,2010-11-16,Arte,Royaume-Uni,1.576179,6.0,Tuesday,non
LE FILS DU DÉSERT,2010-05-24,Arte,Etats-Unis,1.517802,7.0,Monday,non
MÉLODIE EN SOUS-SOL,2010-12-28,Arte,France / Italie,1.459425,5.8,Tuesday,oui
LES DIABOLIQUES,2010-03-29,Arte,France,1.342671,5.1,Monday,non
STAR WARS ÉPISODE 3 : LA REVANCHE DES SITH,2010-12-23,W9,Etats-Unis,1.984818,8.3,Thursday,oui
STAR WARS ÉPISODE 1 : LA MENACE FANTÔME,2010-12-09,W9,Etats-Unis,1.75131,7.4,Thursday,non
STAR WARS ÉPISODE 2 : L'ATTAQUE DES CLONES,2010-12-16,W9,Etats-Unis,1.692933,7.0,Thursday,non
LE RETOUR DU JEDI,2010-12-02,W9,Etats-Unis,1.576179,7.0,Thursday,non
HELLBOY,2010-05-27,W9,Etats-Unis,1.459425,6.0,Thursday,non
BIENVENUE CHES LES CH'TIS,2010-11-28,TF1,France,14.419119,51.0,Sunday,non
ASTÉRIX AUX JEUX OLYMPIQUES,2010-10-24,TF1,France / DE / Espagne / Italie,10.099221,38.4,Sunday,oui
RATATOUILLE,2010-10-31,TF1,Etats-Unis,8.639796,35.9,Sunday,oui
L'AGE DE GLACE 2,2010-02-14,TF1,Etats-Unis,7.764141,28.8,Sunday,oui
HARRY POTTER ET L'ORDRE DU PHÉNIX,2010-11-21,TF1,Royaume-Uni,7.472256,30.4,Sunday,non
NE LE DIS À PERSONNE,2010-10-18,M6,France,5.429061,23.0,Monday,non
NANNY MCPHEE,2010-12-23,M6,Royaume-Uni,4.962045,19.7,Thursday,oui
STAR WARS ÉPISODE 3 : LA REVANCHE DES SITH,2010-02-08,M6,Etats-Unis,4.67016,18.7,Monday,oui
LA GUERRE DES ÉTOILES,2010-02-15,M6,Etats-Unis,4.553406,17.6,Monday,oui
STAR WARS ÉPISODE 2 : L'ATTAQUE DES CLONES,2010-02-01,M6,Etats-Unis,4.378275,17.9,Monday,non
QUANTUM OF SOLACE,2011-12-04,France 2,Royaume-Uni,6.322644,21.9,Sunday,non
LE PREMIER JOUR DU RESTE DE TA VIE,2011-02-13,France 2,France,4.917612,18.4,Sunday,oui
MON PETIT DOIGT M'A DIT…,2011-12-11,France 2,France,4.859069,17.1,Sunday,non
LE PÈRE NOËL EST UNE ORDURE,2011-12-18,France 2,France,4.800526,15.7,Sunday,oui
LE CRIME EST NOTRE AFFAIRE,2011-05-01,France 2,France,4.800526,19.0,Sunday,non
WASABI,2011-02-01,France 3,France,4.507811,16.6,Tuesday,non
LA ZIZANIE,2011-03-03,France 3,France,4.039467,15.1,Thursday,non
MEURS UN AUTRE JOUR,2011-08-25,France 3,Royaume-Uni,3.980924,17.7,Thursday,oui
LE MONDE NE SUFFIT PAS,2011-08-18,France 3,Royaume-Uni,3.629666,18.1,Thursday,oui
L'AILE OU LA CUISSE,2011-04-19,France 3,France,3.571123,13.5,Tuesday,oui
"TOM HORN, SA VÉRITABLE HISTOIRE",2011-12-05,Arte,Etats-Unis,1.697747,5.8,Monday,non
FULL METAL JACKET,2011-11-14,Arte,Royaume-Uni,1.580661,5.6,Monday,non
SOUS LES VERROUS,2011-12-19,Arte,Etats-Unis,1.580661,5.1,Monday,oui
LE NOM DE LA ROSE,2011-12-18,Arte,DE / Italie / France,1.463575,5.1,Sunday,oui
LE CHOIX DES ARMES,2011-11-06,Arte,France,1.405032,5.2,Sunday,oui
UNE JOURNÉE EN ENFER,2011-11-13,W9,Etats-Unis,2.107548,8.2,Sunday,non
RASTA ROCKETT,2011-12-18,W9,Etats-Unis,2.049005,6.8,Sunday,oui
PIÈGE DE CRISTAL,2011-10-30,W9,Etats-Unis,1.931919,7.8,Sunday,oui
ASTÉRIX LE GAULOIS,2011-07-25,W9,France,1.814833,7.5,Monday,oui
BAD BOYS II,2011-10-09,W9,Etats-Unis,1.75629,7.1,Sunday,non
DE L'AUTRE CÔTÉ DU LIT,2011-02-06,TF1,France,9.425423,35.3,Sunday,non
DIE HARD 4 – RETOUR EN ENFER,2011-05-22,TF1,Etats-Unis,9.015622,37.7,Sunday,non
LOL – LAUGHING OUT LOUD,2011-11-27,TF1,France,8.313106,28.7,Sunday,non
LE CODE A CHANGÉ,2011-09-04,TF1,France,8.137477,32.2,Sunday,oui
PRÊTE-MOI TA MAIN,2011-01-23,TF1,France,8.078934,29.3,Sunday,non
LE PETIT NICOLAS,2011-09-01,M6,France / Belgique,7.61059,30.3,Thursday,oui
VILAINE,2011-08-04,M6,France,4.449268,21.5,Thursday,oui
LA BELLE ET LA BÊTE,2011-12-19,M6,Etats-Unis,4.449268,14.7,Monday,oui
CARS – QUATRE ROUES,2011-07-21,M6,Etats-Unis,4.390725,19.9,Thursday,oui
INDIANA JONES ET LE ROYAUME DU CRÂNE DE CRISTAL,2011-10-31,M6,Etats-Unis,4.273639,17.0,Monday,oui
TITANIC,2012-04-15,France 2,Etats-Unis,6.424242,26.7,Sunday,oui
NEUILLY SA MÈRE,2012-02-19,France 2,France,6.129552,21.4,Sunday,oui
LES TONTONS FLINGUEURS,2012-12-02,France 2,France/Italie/DE,5.422296,20.2,Sunday,non
LES CHORISTES,2012-03-04,France 2,France/CH,5.422296,19.2,Sunday,non
CAMPING,2012-04-01,France 2,France,5.245482,19.1,Sunday,non
PIÈCE MONTÉE,2012-09-13,France 3,France,3.772032,14.5,Thursday,non
LE MUR DE L'ATLANTIQUE,2012-08-30,France 3,France/Italie,3.713094,14.8,Thursday,oui
LES RIVIÈRES POURPRES,2012-09-20,France 3,France,3.477342,14.0,Thursday,non
LES SŒURS FÂCHÉES,2012-02-16,France 3,France,3.300528,11.7,Thursday,oui
LE TEMPS DES PORTE-PLUMES,2012-09-06,France 3,France,3.123714,12.4,Thursday,non
SA MÈRE OU MOI,2012-06-10,France 4,Etats-Unis,1.650264,6.3,Sunday,non
CROCODILE DUNDEE,2012-08-26,France 4,AU,1.591326,6.9,Sunday,oui
TITANIC,2012-12-30,France 4,Etats-Unis,1.532388,7.0,Sunday,oui
RUSH HOUR 2,2012-04-24,France 4,Etats-Unis,1.532388,5.4,Tuesday,non
TERMINATOR 2,2012-01-08,France 4,Etats-Unis,1.296636,4.7,Sunday,non
THE PLEDGE,2012-05-22,Arte,Etats-Unis,1.709202,6.4,Tuesday,non
LE CRIME ÉTAIT PRESQUE PARFAIT,2012-12-30,Arte,Etats-Unis,1.709202,6.5,Sunday,oui
PEUR SUR LA VILLE,2012-07-02,Arte,France/Italie,1.650264,6.4,Monday,non
LA FIRME,2012-01-05,Arte,Etats-Unis,1.591326,6.4,Thursday,non
LE PARRAIN,2012-01-08,Arte,Etats-Unis,1.591326,6.7,Sunday,non
L'HOMME DES HAUTES PLAINES,2012-02-19,C8,Etats-Unis,1.47345,5.3,Sunday,oui
LE TATOUÉ,2012-12-16,C8,France/Italie,1.237698,4.5,Sunday,non
LE CLIENT,2012-06-12,C8,Etats-Unis,1.237698,4.8,Tuesday,non
MILLION DOLLAR BABY,2012-10-07,C8,Etats-Unis,1.17876,4.8,Sunday,non
LE 13ÈME GUERRIER,2012-10-08,C8,Etats-Unis,1.17876,4.4,Monday,non
LA GUERRE DES BOUTONS,2012-02-23,Gulli,France,1.650264,5.8,Thursday,oui
LA FERME EN FOLIE,2012-04-17,Gulli,Etats-Unis,1.060884,3.8,Tuesday,oui
GEORGE DE LA JUNGLE,2012-06-12,Gulli,Etats-Unis,1.001946,3.8,Tuesday,non
SOURIS CITY,2012-12-30,Gulli,Etats-Unis,1.001946,3.8,Sunday,oui
"SPIRIT, L'ÉTALON DES PLAINES",2012-02-21,Gulli,Etats-Unis,0.943008,3.1,Tuesday,oui
ERAGON,2012-02-20,NRJ12,Etats-Unis,1.591326,5.7,Monday,oui
FAST AND FURIOUS 4,2012-01-30,NRJ12,Etats-Unis,1.237698,4.5,Monday,non
GARFIELD LE FILM,2012-03-06,NRJ12,Etats-Unis,1.237698,4.2,Tuesday,non
XXX 2 : THE NEXT LEVEL,2012-05-14,NRJ12,Etats-Unis,1.119822,4.1,Monday,non
LA NEUVIÈME PORTE,2012-11-26,NRJ12,France/Espagne,1.060884,4.2,Monday,non
LA MORT DANS LA PEAU,2012-04-19,TFX,Etats-Unis,1.827078,7.0,Thursday,oui
PHÈNOMÈNES,2012-01-05,TFX,Etats-Unis,1.76814,6.3,Thursday,non
"SHOOTER, TIREUR D'ÉLITE",2012-02-09,TFX,Etats-Unis,1.47345,5.7,Thursday,non
RETOUR VERS LE FUTUR,2012-02-14,TFX,Etats-Unis,1.237698,4.6,Tuesday,oui
300,2012-05-24,TFX,Etats-Unis,1.237698,5.1,Thursday,non
THE BODYGUARD,2012-02-13,TMC,Etats-Unis,2.06283,7.5,Monday,oui
ARMAGEDDON,2012-02-27,TMC,Etats-Unis,1.886016,7.4,Monday,oui
JURASSIC PARK III,2012-03-22,TMC,Etats-Unis,1.76814,6.8,Thursday,non
LES VISITEURS 2,2012-04-26,TMC,France,1.709202,6.4,Thursday,non
JE SUIS UNE LÉGENDE,2012-04-16,TMC,Etats-Unis,1.650264,5.9,Monday,oui
PRETTY WOMAN,2012-06-17,W9,Etats-Unis,1.886016,7.8,Sunday,non
ASTÉRIX CHEZ LES BRETONS,2012-07-16,W9,France,1.591326,6.6,Monday,oui
ASTÉRIX ET LA SURPRISE DE CÉSAR,2012-07-09,W9,France,1.591326,6.5,Monday,oui
WANTED : CHOISIS TON DESTIN,2012-02-06,W9,Etats-Unis,1.591326,5.7,Monday,non
NANNY MCPHEE,2012-12-27,W9,Royaume-Uni,1.591326,6.2,Thursday,oui
GRAN TORINO,2012-03-11,TF1,Etats-Unis,9.489018,36.9,Sunday,non
L'ÂGE DE GLACE 3 : LE TEMPS DES DINOSAURES,2012-10-28,TF1,Etats-Unis,9.194328,33.6,Sunday,oui
LES BRONZÉS FONT DU SKI,2012-02-26,TF1,France,9.076452,32.6,Sunday,oui
LA GRANDE VADROUILLE,2012-01-01,TF1,France/Royaume-Uni,8.899638,35.2,Sunday,oui
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE,2012-03-04,TF1,France,8.428134,31.6,Sunday,non
LA VÉRITÉ SI JE MENS 2,2012-01-31,M6,France,6.129552,22.5,Tuesday,non
NE LE DIS À PERSONNE,2012-10-15,M6,France,5.127606,21.2,Monday,non
PRÉDICTIONS,2012-01-24,M6,AU,4.832916,18.4,Tuesday,non
LÀ-HAUT,2012-04-08,M6,Etats-Unis,4.773978,18.9,Sunday,oui
2012,2012-12-18,M6,Etats-Unis,4.71504,19.1,Tuesday,non
LES TONTONS FLINGUEURS,2013-11-24,France 2,France / Italie / DE,6.75222,24.2,Sunday,non
SHUTTER ISLAND,2013-02-03,France 2,Etats-Unis,6.10069,23.2,Sunday,non
INVICTUS,2013-12-08,France 2,Etats-Unis,5.21224,19.5,Sunday,non
QUANTUM OF SOLACE,2013-12-15,France 2,Royaume-Uni,5.15301,18.5,Sunday,non
NIGHT AND DAY,2013-05-05,France 2,Etats-Unis,5.09378,19.6,Sunday,non
LA SOUPE AUX CHOUX,2013-04-18,France 3,France,4.1461,15.8,Thursday,oui
L'AILE OU LA CUISSE,2013-03-07,France 3,France,3.25765,12.4,Thursday,non
TRUE GRIT,2013-10-10,France 3,Etats-Unis,3.19842,12.2,Thursday,non
RED,2013-11-21,France 3,Etats-Unis,3.13919,11.8,Thursday,non
"JE VAIS BIEN, NE T'EN FAIS PAS",2013-11-28,France 3,France,3.07996,11.5,Thursday,non
THOR,2013-10-28,France 4,Etats-Unis,2.19151,7.9,Monday,oui
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,2013-11-03,France 4,NZ,1.65844,7.2,Sunday,oui
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT,2013-04-28,France 4,Etats-Unis,1.53998,5.5,Sunday,oui
LA VIE EST UN LONG FLEUVE TRANQUILLE,2013-12-22,France 4,France,1.36229,4.8,Sunday,oui
THE GREEN HORNET,2013-11-11,France 4,Etats-Unis,1.30306,4.4,Monday,non
"SLEEPY HOLLOW, LA LÉGENDE DU CAVALIER SANS TÊTE",2013-01-02,Arte,Etats-Unis,1.95459,7.0,Wednesday,oui
TOUCHEZ PAS AU GRISBI,2013-11-25,Arte,France / Italie,1.89536,6.7,Monday,non
MISSISSIPPI BURNING,2013-03-11,Arte,Etats-Unis,1.65844,6.5,Monday,non
SENS UNIQUE,2013-02-25,Arte,Etats-Unis,1.65844,5.8,Monday,oui
BUFFET FROID,2013-12-16,Arte,France,1.59921,5.6,Monday,non
SEVEN,2013-02-11,C8,Etats-Unis,2.13228,8.0,Monday,oui
HORS DE CONTRÔLE,2013-04-01,C8,Etats-Unis,1.71767,6.4,Monday,non
RAMBO III,2013-11-12,C8,Etats-Unis,1.65844,6.0,Tuesday,non
RAMBO,2013-11-26,C8,Etats-Unis,1.53998,5.6,Tuesday,non
AU CŒUR DU MENSONGE,2013-06-02,C8,France,1.48075,5.8,Sunday,non
LE DROIT DE TUER,2013-09-10,CStar,Etats-Unis,0.76999,3.2,Tuesday,non
LE GRAND TOURNOI,2013-11-28,CStar,Etats-Unis,0.65153,2.6,Thursday,non
MISSION : IMPOSSIBLE,2013-05-30,CStar,Etats-Unis,0.65153,2.5,Thursday,non
"LA GUERRE DES BOUTONS, ÇA RECOMMENCE",2013-08-01,CStar,Royaume-Uni / France,0.65153,3.3,Thursday,oui
QUELQUES MESSIEURS TROP TRANQUILLES,2013-09-16,CStar,France,0.53307,2.3,Monday,non
PLANÈTE 51,2013-05-14,Gulli,Espagne,1.24383,4.5,Tuesday,non
LA COCCINELLE REVIENT,2013-10-27,Gulli,Etats-Unis,1.12537,4.1,Sunday,oui
"SNOWFLAKE, LE GORILLE BLANC",2013-01-29,Gulli,Espagne,0.94768,3.3,Tuesday,non
ANASTASIA,2013-01-08,Gulli,Etats-Unis,0.82922,3.1,Tuesday,non
LA GUERRE DES BOUTONS,2013-06-13,Gulli,France,0.82922,3.0,Thursday,non
FAST AND FURIOUS 4,2013-05-21,NRJ12,Etats-Unis,1.71767,6.5,Tuesday,non
LE DERNIER CHEYENNE,2013-02-05,NRJ12,Etats-Unis,1.12537,4.3,Tuesday,non
CLEANER,2013-06-18,NRJ12,Etats-Unis,1.12537,4.3,Tuesday,non
MON VOISIN LE TUEUR,2013-06-04,NRJ12,Etats-Unis,1.06614,4.0,Tuesday,non
LE TOMBEAU,2013-05-28,NRJ12,Royaume-Uni,0.94768,3.5,Tuesday,non
X-MEN : L'AFFRONTEMENT FINAL,2013-05-02,TFX,Etats-Unis,1.53998,5.9,Thursday,non
X-MEN ORIGINS : WOLVERINE,2013-05-09,TFX,Etats-Unis,1.48075,6.0,Thursday,non
LE TRANSPORTEUR,2013-02-14,TFX,France,1.42152,5.5,Thursday,oui
G.I. JOE : LE RÉVEIL DU COBRA,2013-03-21,TFX,Etats-Unis,1.24383,5.0,Thursday,non
LE MONDE PERDU DE JURASSIC PARK,2013-12-12,TFX,Etats-Unis,1.1846,5.1,Thursday,non
"MOI, MOCHE ET MÉCHANT",2013-10-24,TMC,Etats-Unis,2.25074,8.3,Thursday,oui
"MAMAN, J'AI RATÉ L'AVION",2013-12-26,TMC,Etats-Unis,1.7769,7.1,Thursday,oui
CHAOS,2013-12-09,TMC,Royaume-Uni,1.65844,6.2,Monday,non
BRAQUAGE À L'ITALIENNE,2013-06-03,TMC,Etats-Unis,1.65844,6.1,Monday,non
OÙ SONT PASSÉS LES MORGAN ?,2013-02-21,TMC,Etats-Unis,1.59921,6.4,Thursday,oui
ARRÊTE-MOI SI TU PEUX,2013-01-07,W9,Etats-Unis,2.13228,8.5,Monday,oui
TAKEN,2013-02-04,W9,France,2.07305,7.5,Monday,non
IRON MAN,2013-06-11,W9,Etats-Unis,1.89536,7.6,Tuesday,non
KICK-ASS,2013-06-24,W9,Royaume-Uni,1.59921,6.1,Monday,non
UNE JOURNÉE EN ENFER,2013-09-05,W9,Etats-Unis,1.53998,6.5,Thursday,non
RIEN À DÉCLARER,2013-05-26,TF1,France / Belgique,9.95064,37.4,Sunday,non
AVATAR,2013-11-10,TF1,Etats-Unis,9.71372,39.1,Sunday,non
"SHREK 4, IL ÉTAIT UNE FIN",2013-10-20,TF1,Etats-Unis,8.2922,29.3,Sunday,oui
SANS IDENTITÉ,2013-03-24,TF1,DE / Royaume-Uni / France,8.35143,31.5,Sunday,non
L'AGENCE TOUS RISQUES,2013-02-17,TF1,Etats-Unis,7.6999,29.5,Sunday,oui
LES PETITS MOUCHOIRS,2013-03-12,M6,France,4.97532,21.0,Tuesday,non
RAIPONCE,2013-12-23,M6,Etats-Unis,4.50148,16.1,Monday,oui
LE PETIT NICOLAS,2013-02-26,M6,France / Belgique,4.44225,15.1,Tuesday,non
L'APPRENTI SORCIER,2013-12-19,M6,Etats-Unis,3.84995,15.7,Thursday,non
UNE JOURNÉE EN ENFER,2013-05-23,M6,Etats-Unis,3.67226,15.3,Thursday,non
CAPTAIN AMERICA : FIRST AVENGER,2014-04-27,France 2,Etats-Unis,5.141091,19.3,Sunday,oui
LES FEMMES DU 6E ÉTAGE,2014-03-09,France 2,France,5.081998,18.9,Sunday,non
LES AVENTURES DE RABBI JACOB,2014-06-29,France 2,France / Italie,4.904719,19.2,Sunday,non
L'AGENCE TOUS RISQUES,2014-12-28,France 2,Etats-Unis,4.431975,16.9,Sunday,oui
INGLOURIOUS BASTERDS,2014-10-12,France 2,Etats-Unis,4.313789,18.3,Sunday,non
LE JOUR LE PLUS LONG,2014-06-05,France 3,Royaume-Uni / Etats-Unis,3.486487,16.6,Thursday,non
LE MUR DE L'ATLANTIQUE,2014-07-03,France 3,France / Italie,3.368301,15.0,Thursday,non
PIÈCE MONTÉE,2014-09-04,France 3,France,3.309208,13.8,Thursday,non
LE DISCOURS D'UN ROI,2014-02-27,France 3,Royaume-Uni,2.895557,11.4,Thursday,oui
MYSTIC RIVER,2014-11-06,France 3,Etats-Unis,2.895557,11.9,Thursday,non
IRON MAN 2,2014-03-30,France 4,Etats-Unis,1.831883,7.0,Sunday,non
MADAME DOUBTFIRE,2014-08-17,France 4,Etats-Unis,1.536418,7.4,Sunday,oui
LA SOUPE AUX CHOUX,2014-04-30,France 4,France,1.477325,5.8,Wednesday,non
SEUL AU MONDE,2014-03-26,France 4,Etats-Unis,1.240953,5.3,Wednesday,non
"LE BON, LA BRUTE ET LE TRUAND",2014-08-31,France 4,Italie,1.240953,5.5,Sunday,oui
POLISSE,2014-11-23,Arte,France,2.718278,10.1,Sunday,non
LE TRAIN SIFFLERA TROIS FOIS,2014-02-02,Arte,Etats-Unis,1.77279,6.3,Sunday,non
WITNESS,2014-08-31,Arte,Etats-Unis,1.654604,6.5,Sunday,oui
UN CŒUR EN HIVER,2014-04-27,Arte,France,1.595511,5.9,Sunday,oui
L'HORLOGER DE SAINT-PAUL,2014-02-23,Arte,France,1.595511,5.8,Sunday,oui
JUMANJI,2014-08-14,6ter,Etats-Unis,0.709116,3.7,Thursday,oui
TOY STORY 3,2014-03-13,6ter,Etats-Unis,0.472744,1.9,Thursday,non
ERAGON,2014-09-14,6ter,Etats-Unis,0.472744,1.8,Sunday,non
BAD BOYS II,2014-09-07,6ter,Etats-Unis,0.472744,2.0,Sunday,non
QUI VEUT LA PEAU DE ROGER RABBIT,2014-10-30,6ter,Etats-Unis,0.413651,1.6,Thursday,oui
BLITZ,2014-02-03,C8,Royaume-Uni,1.831883,6.7,Monday,non
LE CODE A CHANGÉ,2014-05-15,C8,France,1.477325,6.0,Thursday,non
LES CANONS DE NAVARONE,2014-06-03,C8,Royaume-Uni,1.359139,6.4,Tuesday,non
RAMBO 2 - LA MISSION,2014-11-11,C8,Etats-Unis,1.359139,5.0,Tuesday,non
RAMBO,2014-11-04,C8,Etats-Unis,1.359139,5.2,Tuesday,non
MISSION ALCATRAZ,2014-03-13,CStar,Etats-Unis,0.768209,3.1,Thursday,non
ROGUE : L'ULTIME AFFRONTEMENT,2014-10-16,CStar,Etats-Unis,0.768209,3.0,Thursday,non
SUPER-HÉROS MOVIE,2014-05-01,CStar,Etats-Unis,0.709116,2.8,Thursday,non
LE CASSE DU SIÈCLE,2014-05-29,CStar,Royaume-Uni,0.650023,2.8,Thursday,non
LE TÉMOIN DU MAL,2014-01-02,CStar,Etats-Unis,0.650023,2.6,Thursday,oui
"MAMAN, J'AI ENCORE RATÉ L'AVION",2014-03-04,Gulli,Etats-Unis,1.122767,4.5,Tuesday,non
"MAMAN, J'AI RATÉ L'AVION",2014-02-25,Gulli,Etats-Unis,1.122767,4.2,Tuesday,oui
TOUS À L'OUEST,2014-08-17,Gulli,France,0.768209,3.7,Sunday,oui
THOR ET LES LÉGENDES DU VALHALLA,2014-03-11,Gulli,IS / DE / IE,0.768209,2.9,Tuesday,non
POISSON D'AVRIL,2014-03-31,Gulli,France,0.768209,2.9,Monday,non
L'ARME FATALE III,2014-05-04,TF1 Séries Films,Etats-Unis,0.709116,2.8,Sunday,non
RETOUR VERS LE FUTUR,2014-05-06,TF1 Séries Films,Etats-Unis,0.709116,2.8,Tuesday,non
GLADIATOR,2014-06-22,TF1 Séries Films,Etats-Unis,0.59093,2.9,Sunday,non
L'ARME FATALE,2014-09-14,TF1 Séries Films,Etats-Unis,0.59093,2.5,Sunday,non
LE CERCLE DES POÈTES DISPARUS,2014-08-14,TF1 Séries Films,Etats-Unis,0.531837,2.9,Thursday,oui
ROBOCOP,2014-02-02,NRJ12,Etats-Unis,0.886395,3.3,Sunday,non
ROBOCOP 2,2014-02-02,NRJ12,Etats-Unis,0.886395,7.8,Sunday,non
LE DERNIER CHEYENNE,2014-01-14,NRJ12,Etats-Unis,0.886395,3.3,Tuesday,non
BRAVEHEART,2014-01-16,NRJ12,Etats-Unis,0.827302,3.6,Thursday,non
MON VOISIN LE TUEUR,2014-11-18,NRJ12,Etats-Unis,0.827302,3.0,Tuesday,non
X-MEN ORIGINS : WOLVERINE,2014-05-15,TFX,Etats-Unis,1.536418,6.4,Thursday,non
DRAGONS,2014-07-01,TFX,Etats-Unis,1.477325,6.2,Tuesday,non
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT,2014-01-02,TFX,Etats-Unis,1.300046,4.7,Thursday,oui
RESIDENT EVIL : AFTERLIFE,2014-01-16,TFX,DE / France,1.122767,4.3,Thursday,non
DAREDEVIL,2014-01-09,TFX,Etats-Unis,1.122767,4.2,Thursday,non
LOIN DU PARADIS,2014-08-24,RMC Story,Etats-Unis,0.354558,1.6,Sunday,oui
"K-19, LE PIÈGE DES PROFONDEURS",2014-09-18,RMC Story,Etats-Unis,0.354558,1.6,Thursday,non
MULHOLLAND DRIVE,2014-12-28,RMC Story,Etats-Unis,0.354558,1.4,Sunday,oui
TWISTER,2014-06-29,RMC Story,Etats-Unis,0.354558,1.4,Sunday,non
ESPRIT DE FAMILLE,2014-12-18,RMC Story,Etats-Unis,0.295465,1.2,Thursday,non
LE TRANSPORTEUR 2,2014-03-17,TMC,France,2.009162,7.6,Monday,non
TRUE LIES : LE CAMÉLÉON,2014-12-18,TMC,Etats-Unis,1.831883,7.9,Thursday,non
LES VISITEURS,2014-11-13,TMC,France,1.654604,6.5,Thursday,non
L'ENQUÊTE CORSE,2014-10-02,TMC,France,1.654604,6.6,Thursday,non
PIRATES DES CARAÏBES : LE SECRET DU COFFRE MAUDIT,2014-04-21,TMC,Etats-Unis,1.595511,6.7,Monday,oui
IRON MAN,2014-02-06,W9,Etats-Unis,1.831883,7.8,Thursday,non
STAR WARS : ÉPISODE 3 - LA REVANCHE DES SITH,2014-12-30,W9,Etats-Unis,1.831883,7.3,Tuesday,oui
RASTA ROCKETT,2014-02-20,W9,Etats-Unis,1.713697,6.8,Thursday,oui
STAR WARS : ÉPISODE 2 - L'ATTAQUE DES CLONES,2014-12-23,W9,Etats-Unis,1.654604,6.9,Tuesday,oui
SOURCE CODE,2014-12-04,W9,Etats-Unis,1.477325,5.5,Thursday,non
INTOUCHABLES,2014-12-07,TF1,France,13.886855,48.5,Sunday,non
BIENVENUE CHEZ LES CH'TIS,2014-03-02,TF1,France,11.464042,41.2,Sunday,oui
LES TUCHE,2014-02-16,TF1,France,8.568485,32.1,Sunday,oui
LE PRÉNOM,2014-12-30,TF1,France,7.977555,30.0,Tuesday,oui
DIE HARD 4 : RETOUR EN ENFER,2014-03-09,TF1,Etats-Unis,7.386625,30.1,Sunday,non
REBELLE,2014-12-22,M6,Etats-Unis,5.081998,18.2,Monday,oui
INDIANA JONES ET LE ROYAUME DU CRÂNE DE CRISTAL,2014-03-11,M6,Etats-Unis,3.959231,16.4,Tuesday,non
LA GUERRE DES ÉTOILES,2014-01-28,M6,Etats-Unis,3.841045,15.0,Tuesday,non
INDIANA JONES ET LA DERNIÈRE CROISADE,2014-03-04,M6,Etats-Unis,3.722859,15.4,Tuesday,non
BIENVENUE À BORD,2014-04-08,M6,France,3.663766,13.7,Tuesday,non
