TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires
FORTUNAT,2001-10-15,France 3,France/Italie,5.5503,24.8,Monday,non
TENDRE VOYOU,2001-01-01,France 5,France/Italie,1.0572,8.0,Monday,oui
LE PEUPLE SINGE,2001-12-24,France 5,France,0.7929,7.9,Monday,oui
UN SPÉCIALISTE/PORTRAIT D'UN CRIMINEL MODERNE ,2001-06-18,France 5,France,0.21144,3.1,Monday,non
PLANÈTE INTERDITE,2001-01-01,France 5,Etats-Unis,0.10572,11.8,Monday,oui
VÉNUS BEAUTÉ INSTITUT,2001-10-04,Arte,France,2.96016,12.3,Thursday,non
NEVADA SMITH,2001-12-17,Arte,Etats-Unis,2.53728,11.1,Monday,non
TOUCHEZ PAS AU GRISBI,2001-10-07,Arte,France,2.43156,9.6,Sunday,non
LES VIKINGS,2001-11-11,Arte,Etats-Unis,2.27298,9.3,Sunday,non
L'ARNAQUE,2001-10-21,Arte,Etats-Unis,2.22012,9.5,Sunday,oui
LE DÎNER DE CONS,2001-05-29,TF1,France,11.68206,50.3,Tuesday,non
ASTERIX ET OBELIX CONTRE CÉSAR,2001-10-23,TF1,France,10.51914,43.0,Tuesday,oui
LES AVENTURES DE RABBI JACOB,2001-12-30,TF1,France,9.83196,38.8,Sunday,oui
58 MINUTES POUR VIVRE,2001-02-25,TF1,Etats-Unis,9.7791,42.6,Sunday,oui
LE DERNIER SAMARITAIN,2001-01-14,TF1,Etats-Unis,9.62052,40.2,Sunday,non
LE CERVEAU,2001-03-18,M6,France/Italie,6.02604,27.1,Sunday,non
BAD BOYS FLICS DE CHOC,2001-01-22,M6,Etats-Unis,6.02604,26.8,Monday,non
MONEY TRAIN,2001-02-05,M6,Etats-Unis,5.65602,24.6,Monday,non
SENS UNIQUE,2001-02-26,M6,Etats-Unis,5.60316,24.3,Monday,oui
LE GRAND TOURNOI,2001-02-19,M6,Etats-Unis,5.23314,21.3,Monday,oui
L'ARME FATALE 4,2002-03-10,France 2,Etats-Unis,8.639,36.9,Sunday,non
SPEED,2002-04-23,France 2,Etats-Unis,7.473,33.3,Tuesday,oui
LES PLEINS POUVOIRS,2002-11-24,France 2,Etats-Unis,7.367,30.8,Sunday,non
HAUTE VOLTIGE,2002-11-05,France 2,Etats-Unis,6.943,31.1,Tuesday,non
MEURTRE À LA MAISON BLANCHE,2002-09-03,France 2,Etats-Unis,6.572,29.7,Tuesday,non
LA VIE EST BELLE,2002-01-14,France 3,Italie,7.155,30.6,Monday,non
L'EFFACEUR,2002-03-14,France 3,Etats-Unis,6.519,28.3,Thursday,non
LE BONHEUR EST DANS LE PRÉ,2002-12-05,France 3,France,6.466,27.9,Thursday,non
LE FUGITIF,2002-11-28,France 3,Etats-Unis,5.936,25.9,Thursday,non
LA RANÇON,2002-10-17,France 3,Etats-Unis,5.247,23.3,Thursday,non
LE PEUPLE SINGE,2002-11-01,France 5,France,0.795,8.3,Friday,oui
POUCELINA,2002-01-03,France 5,Etats-Unis,0.742,10.2,Thursday,oui
LE ROI ET L'OISEAU,2002-01-01,France 5,France,0.742,6.8,Tuesday,oui
FIFI BRINDACIER,2002-01-04,France 5,Allemagne,0.689,9.0,Friday,oui
AU BONHEUR DES DAMES,2002-08-28,France 5,France,0.53,10.8,Wednesday,oui
MAIGRET TEND UN PIÈGE,2002-10-14,Arte,France/Italie,2.597,10.3,Monday,non
JEREMIAH JOHNSON,2002-03-31,Arte,Etats-Unis,2.332,11.7,Sunday,non
MON ONCLE,2002-12-30,Arte,France/Italie,2.332,9.9,Monday,oui
SALOMON ET LA REINE DE SABA,2002-01-27,Arte,Etats-Unis,2.279,10.0,Sunday,non
LA BELLE AMÉRICAINE,2002-05-12,Arte,France,2.12,9.2,Sunday,non
6 JOURS 7 NUITS,2002-02-17,TF1,Etats-Unis,10.971,44.0,Sunday,oui
TAXI 2,2002-10-01,TF1,France,10.388,42.4,Tuesday,non
LE MASQUE DE ZORRO,2002-04-14,TF1,Etats-Unis,10.335,44.7,Sunday,oui
LE FLIC DE BEVERLY HILLS 3,2002-01-08,TF1,Etats-Unis,9.858,40.3,Tuesday,non
UN INDIEN DANS LA VILLE,2002-12-22,TF1,France,9.858,39.7,Sunday,oui
LA VÉRITÉ SI JE MENS,2002-09-16,M6,France,5.565,25.2,Monday,non
LE CAVE SE REBIFFE,2002-06-16,M6,France/Italie,5.406,30.7,Sunday,non
JACKIE CHAN DANS LE BRONX,2002-02-18,M6,Hong Kong,5.3,20.6,Monday,oui
LES BARBOUZES,2002-06-09,M6,France,5.088,25.7,Sunday,non
RONIN,2002-02-25,M6,Etats-Unis,4.823,21.5,Monday,oui
LE PÈRE NOËL EST UNE ORDURE,2003-12-21,France 2,France,7.67808,29.8,Sunday,oui
MATRIX,2003-05-18,France 2,Etats-Unis,7.51812,32.8,Sunday,non
LES TONTONS FLINGUEURS,2003-12-02,France 2,France,7.51812,31.3,Tuesday,non
UN CRIME AU PARADIS,2003-03-11,France 2,France,7.51812,30.0,Tuesday,non
LES VISITEURS 2,2003-04-01,France 2,France,7.03824,29.9,Tuesday,non
DR DOLITTLE,2003-10-23,France 3,Etats-Unis,6.45172,24.3,Thursday,oui
Etats-Unis MARSHALS,2003-05-22,France 3,Etats-Unis,5.5986,26.1,Thursday,non
LE FABULEUX DESTIN D'AMÉLIE POULAIN,2003-12-18,France 3,France,5.5986,23.8,Thursday,non
LE MUR DE L'ATLANTIQUE,2003-03-17,France 3,France,5.22536,21.8,Monday,non
LA LIGNE VERTE,2003-06-19,France 3,Etats-Unis,4.95876,28.1,Thursday,non
"BALTO, CHIEN LOUP, HÉROS DES NEIGES",2003-12-24,France 5,Etats-Unis,1.17304,9.9,Wednesday,oui
LITTLE NÉMO AU PAYS DE SLUMBERLAND,2003-12-31,France 5,Japon,0.74648,5.9,Wednesday,oui
DÉLITS FLAGRANTS,2003-08-10,France 5,France,0.05332,12.5,Sunday,oui
FAITS DIVERS,2003-08-12,France 5,France,0.05332,11.1,Tuesday,oui
LES TEMPS MODERNES,2003-12-30,Arte,Etats-Unis,2.9326,12.1,Tuesday,oui
TENUE DE SOIRÉE,2003-05-01,Arte,France,2.34608,10.4,Thursday,non
DEUX HOMMES DANS LA VILLE,2003-09-28,Arte,France,2.29276,9.3,Sunday,non
LES AVENTURES D'ARSÈNE LUPIN,2003-10-19,Arte,France,2.18612,8.6,Sunday,oui
LES LUMIÈRES DE LA VILLE,2003-12-29,Arte,Etats-Unis,2.07948,8.4,Monday,oui
LA VÉRITÉ SI JE MENS 2,2003-10-07,TF1,France,10.61068,45.7,Tuesday,non
LA FOLIE DES GRANDEURS,2003-12-28,TF1,France/Espagne,9.8642,40.7,Sunday,oui
LE PLACARD,2003-10-14,TF1,France,9.54428,38.7,Tuesday,non
MISSION IMPOSSIBLE 2,2003-10-26,TF1,Etats-Unis,9.11772,39.6,Sunday,oui
LES RIVIÈRES POURPRES,2003-03-09,TF1,France,9.01108,37.6,Sunday,non
INDIANA JONES ET LA DERNIÈRE CROISADE,2003-05-05,M6,Etats-Unis,6.29176,27.2,Monday,non
INDIANA JONES ET LE TEMPLE MAUDIT,2003-04-21,M6,Etats-Unis,6.18512,27.7,Monday,oui
SCÈNES DE CRIMES,2003-02-03,M6,France,5.22536,22.2,Monday,non
LES AVENTURIERS DE L'ARCHE PERDUE,2003-04-14,M6,Etats-Unis,5.17204,21.2,Monday,oui
LE 13ÈME GUERRIER,2003-05-26,M6,Etats-Unis,4.74548,19.6,Monday,non
UNE HIRONDELLE A FAIT LE PRINTEMPS,2004-09-14,France 2,France,9.32816,40.1,Tuesday,non
HARRY POTTER À L'ÉCOLE DES SORCIERS,2004-12-26,France 2,Etats-Unis,8.57328,38.2,Sunday,oui
LE BOULET,2004-11-16,France 2,France,7.5488,30.1,Tuesday,non
LE BONHEUR EST DANS LE PRÉ,2004-12-12,France 2,France,7.0096,27.7,Sunday,non
HAUTE VOLTIGE,2004-11-30,France 2,Etats-Unis,6.79392,28.3,Tuesday,non
L'ARME FATALE 3,2004-01-29,France 3,Etats-Unis,6.14688,26.5,Thursday,non
LE JOUR LE PLUS LONG,2004-06-03,France 3,Etats-Unis,6.09296,30.3,Thursday,non
L'EFFACEUR,2004-03-11,France 3,Etats-Unis,5.44592,22.4,Thursday,non
LES PLEINS POUVOIRS,2004-04-01,France 3,Etats-Unis,5.33808,21.9,Thursday,non
LE FUGITIF,2004-12-02,France 3,Etats-Unis,4.96064,21.9,Thursday,non
ROBIN DES BOIS,2004-12-30,France 5,Etats-Unis,1.13232,8.5,Thursday,oui
LA TROMPETTE MAGIQUE,2004-12-20,France 5,Etats-Unis,0.97056,7.1,Monday,oui
BABAR ROI DES ÉLÉPHANTS,2004-12-23,France 5,France/Canada/Allemagne,0.91664,7.6,Thursday,oui
JEREMIAH JOHNSON,2004-10-31,Arte,Etats-Unis,3.45088,15.6,Sunday,oui
MAIGRET ET L'AFFAIRE SAINT FIACRE,2004-04-08,Arte,France,3.12736,13.1,Thursday,non
RAZZIA SUR LA CHNOUF,2004-05-16,Arte,France,2.696,12.0,Sunday,non
LE DIABLE PAR LA QUEUE,2004-09-16,Arte,France/Italie,2.58816,11.0,Thursday,non
QUE LA FÊTE COMMENCE,2004-01-08,Arte,France,2.58816,10.6,Thursday,non
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE,2004-10-05,TF1,France,12.4016,50.2,Tuesday,non
MONSIEUR BATIGNOLE,2004-04-13,TF1,France,12.29376,51.7,Tuesday,oui
LES BRONZÉS FONT DU SKI,2004-02-17,TF1,France,10.83792,41.9,Tuesday,oui
SHREK,2004-10-26,TF1,Etats-Unis,10.29872,38.8,Tuesday,oui
SEUL AU MONDE,2004-04-25,TF1,Etats-Unis,10.08304,47.3,Sunday,oui
LE MASQUE DE ZORRO,2004-11-01,M6,Etats-Unis,7.5488,29.7,Monday,oui
LE MASQUE DE L'ARAIGNÉE,2004-09-06,M6,Etats-Unis,5.49984,24.8,Monday,oui
ARMAGEDDON,2004-03-08,M6,Etats-Unis,5.392,24.8,Monday,non
