TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
DAREDEVIL,2014-01-09,TFX,Etats-Unis,1.122767,4.2,Thursday,non,tt3322312,8.6,488579
LOIN DU PARADIS,2014-08-24,RMC Story,Etats-Unis,0.354558,1.6,Sunday,oui,tt0297884,7.3,50100
"K-19, LE PIEGE DES PROFONDEURS",2014-09-18,RMC Story,Etats-Unis,0.354558,1.6,Thursday,non,tt0267626,6.7,68899
MULHOLLAND DRIVE,2014-12-28,RMC Story,Etats-Unis,0.354558,1.4,Sunday,oui,tt0166924,7.9,394290
TWISTER,2014-06-29,RMC Story,Etats-Unis,0.354558,1.4,Sunday,non,tt0117998,6.5,240418
ESPRIT DE FAMILLE,2014-12-18,RMC Story,Etats-Unis,0.295465,1.2,Thursday,non,tt0356680,6.3,78971
LE TRANSPORTEUR II,2014-03-17,TMC,France,2.009162,7.6,Monday,non,tt0388482,6.3,219158
TRUE LIES : LE CAMELEON,2014-12-18,TMC,Etats-Unis,1.831883,7.9,Thursday,non,tt0111503,7.3,288119
LES VISITEURS,2014-11-13,TMC,France,1.654604,6.5,Thursday,non,tt0108500,7.0,39016
L'ENQUETE CORSE,2014-10-02,TMC,France,1.654604,6.6,Thursday,non,tt0380349,5.8,4457
PIRATES DES CARAIBES : LE SECRET DU COFFRE MAUDIT,2014-04-21,TMC,Etats-Unis,1.595511,6.7,Monday,oui,tt0383574,7.4,786441
IRON MAN,2014-02-06,W9,Etats-Unis,1.831883,7.8,Thursday,non,tt0371746,7.9,1154324
STAR WARS : EPISODE 3 - LA REVANCHE DES SITH,2014-12-30,W9,Etats-Unis,1.831883,7.3,Tuesday,oui,tt0121766,7.6,866485
RASTA ROCKETT,2014-02-20,W9,Etats-Unis,1.713697,6.8,Thursday,oui,tt0106611,7.0,116615
STAR WARS : EPISODE 2 - L'ATTAQUE DES CLONES,2014-12-23,W9,Etats-Unis,1.654604,6.9,Tuesday,oui,tt0121765,6.6,777729
SOURCE CODE,2014-12-04,W9,Etats-Unis,1.477325,5.5,Thursday,non,tt0945513,7.5,561681
INTOUCHABLES,2014-12-07,TF1,France,13.886855,48.5,Sunday,non,tt1675434,8.5,959679
BIENVENUE CHEZ LES CH'TIS,2014-03-02,TF1,France,11.464042,41.2,Sunday,oui,tt1064932,7.1,45885
LES TUCHE,2014-02-16,TF1,France,8.568485,32.1,Sunday,oui,tt1793931,5.4,4063
LE PRENOM,2014-12-30,TF1,France,7.977555,30.0,Tuesday,oui,tt2179121,7.3,18997
DIE HARD 4 : RETOUR EN ENFER,2014-03-09,TF1,Etats-Unis,7.386625,30.1,Sunday,non,tt0337978,7.1,426225
REBELLE,2014-12-22,M6,Etats-Unis,5.081998,18.2,Monday,oui,tt1217209,7.1,455023
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,2014-03-11,M6,Etats-Unis,3.959231,16.4,Tuesday,non,tt0367882,6.2,498809
LA GUERRE DES ETOILES,2014-01-28,M6,Etats-Unis,3.841045,15.0,Tuesday,non,tt0076759,8.6,1486805
INDIANA JONES ET LA DERNIERE CROISADE,2014-03-04,M6,Etats-Unis,3.722859,15.4,Tuesday,non,tt0097576,8.2,828518
BIENVENUE A BORD,2014-04-08,M6,France,3.663766,13.7,Tuesday,non,tt1890377,5.5,1964
SKYFALL,2015-11-08,France 2,Royaume-Uni,6.815133,26.7,Sunday,non,tt1074638,7.8,744220
QUANTUM OF SOLACE,2015-11-22,France 2,Royaume-Uni,5.533655,20.2,Sunday,non,tt0830515,6.5,479298
JACK REACHER,2015-09-13,France 2,Etats-Unis,5.24241,20.9,Sunday,non,tt0790724,7.0,374803
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE,2015-10-18,France 2,France / Hongrie / Espagne / Italie,4.892916,17.8,Sunday,oui,tt1597522,5.3,17095
CASINO ROYALE,2015-11-15,France 2,Royaume-Uni,4.776418,21.1,Sunday,non,tt0381061,8.0,709765
DE L'AUTRE COTE DU LIT,2015-03-29,France 2,France,4.65992,17.4,Sunday,non,tt1275590,5.5,2882
PAULETTE,2015-09-27,France 2,France,4.65992,18.1,Sunday,non,tt2215395,6.6,7745
LA FAILLE,2015-02-22,France 2,Etats-Unis,4.485173,17.0,Sunday,oui,tt0488120,7.2,224456
LE PERE NOEL EST UNE ORDURE,2015-01-04,France 2,France,4.135679,15.3,Sunday,oui,tt0416175,7.8,1520
NIGHT AND DAY,2015-01-18,France 2,Etats-Unis,4.019181,15.2,Sunday,non,tt1013743,6.3,213899
L'AILE OU LA CUISSE,2015-04-30,France 3,France,3.145446,13.1,Thursday,non,tt0074103,7.2,12760
LA SOUPE AUX CHOUX,2015-10-22,France 3,France,2.91245,10.6,Thursday,oui,tt0083109,6.5,9884
INDEPENDENCE DAY,2015-11-26,France 3,Etats-Unis,2.795952,11.7,Thursday,non,tt0116629,7.0,620277
OCEAN'S 13,2015-12-10,France 3,Etats-Unis,2.795952,11.5,Thursday,non,tt0496806,6.9,373988
LES TROIS FRERES,2015-04-16,France 3,France,2.737703,11.0,Thursday,oui,tt0114732,7.2,7661
UN BALCON SUR LA MER,2015-09-24,France 3,France,2.679454,11.4,Thursday,non,tt1533813,6.2,1815
PAULINE DETECTIVE,2015-08-25,France 3,France,2.679454,11.4,Tuesday,oui,tt2246909,5.6,487
LA GUERRE DES MONDES,2015-02-26,France 3,Etats-Unis,2.562956,10.1,Thursday,oui,tt0407304,6.5,484941
LE GRAND PARDON,2015-02-12,France 3,France,2.562956,10.6,Thursday,non,tt0082471,5.8,808
FANNY,2015-12-29,France 3,France,2.504707,9.8,Tuesday,oui,tt0054866,6.8,2752
LE JOUR D'APRES,2015-12-06,France 4,Etats-Unis,1.689221,6.6,Sunday,non,tt0319262,6.5,490649
LE CINQUIEME ELEMENT,2015-04-29,France 4,France,1.514474,5.9,Wednesday,non,tt0119116,7.6,519572
LE SEIGNEUR DES ANNEAUX - LE RETOUR DU ROI,2015-03-08,France 4,NZ,1.281478,6.3,Sunday,non,tt0167260,9.0,2042249
LE CINQUIEME ELEMENT,2015-12-02,France 4,France,1.223229,4.7,Wednesday,non,tt0119116,7.6,519572
MATRIX,2015-06-09,France 4,Etats-Unis,1.16498,4.7,Tuesday,non,tt0133093,8.7,2117215
USUAL SUSPECTS,2015-02-15,France 4,Etats-Unis,1.106731,4.2,Sunday,oui,tt0114814,8.5,1172760
JUMPER,2015-12-13,France 4,Etats-Unis,1.048482,3.7,Sunday,non,tt0489099,6.1,328701
LE SEIGNEUR DES ANNEAUX - LA COMMUNAUTE DE L'ANNEAU,2015-02-22,France 4,NZ,0.990233,4.5,Sunday,oui,tt0120737,8.9,2071830
LA GUERRE DES MONDES,2015-10-20,France 4,Etats-Unis,0.990233,3.7,Tuesday,oui,tt0407304,6.5,484941
LES GRANDES VACANCES,2015-07-08,France 4,France / Italie,0.990233,4.4,Wednesday,oui,tt0060475,6.5,3879
JACKIE BROWN,2015-04-27,France Ô,Etats-Unis,0.524241,2.2,Monday,non,tt0119396,7.5,384568
RIEN QUE POUR VOS YEUX,2015-04-06,France Ô,Royaume-Uni,0.524241,1.9,Monday,oui,tt0082398,6.7,110829
L'HOMME DE CHEVET,2015-04-13,France Ô,France,0.465992,1.8,Monday,oui,tt1282155,6.7,1440
PAPILLON,2015-12-07,France Ô,BS,0.465992,1.8,Monday,non,tt0070511,8.0,140966
POINT BREAK - EXTREME LIMITE,2015-08-31,France Ô,Etats-Unis,0.465992,1.8,Monday,oui,tt0102685,7.3,209968
SHAFT,2015-10-12,France Ô,Etats-Unis,0.465992,1.7,Monday,non,tt0162650,6.0,81932
LES DIAMANTS SONT ETERNELS,2015-09-28,France Ô,Royaume-Uni,0.465992,1.8,Monday,non,tt0066995,6.5,116937
ON NE VIT QUE DEUX FOIS,2015-10-05,France Ô,Royaume-Uni,0.407743,1.6,Monday,non,tt0062512,6.8,120525
DANGEREUSEMENT VOTRE,2015-09-21,France Ô,Royaume-Uni,0.407743,1.7,Monday,non,tt0090264,6.3,107366
OCTOPUSSY,2015-03-30,France Ô,Royaume-Uni,0.349494,1.4,Monday,non,tt0086034,6.5,115568
LE VIEIL HOMME ET L'ENFANT,2015-09-21,Arte,France,1.74747,6.6,Monday,non,tt0063771,7.6,2587
LA NUIT NOUS APPARTIENT,2015-02-02,Arte,Etats-Unis,1.514474,5.6,Monday,non,tt0498399,6.8,94418
TAXI DRIVER,2015-10-26,Arte,Etats-Unis,1.514474,5.9,Monday,oui,tt0075314,8.2,958112
"LE TEMPS D'AIMER, LE TEMPS DE MOURIR",2015-02-09,Arte,Etats-Unis,1.397976,5.5,Monday,non,tt0052296,7.6,3839
UNE FEMME DE MENAGE,2015-09-09,Arte,France,1.456225,5.9,Wednesday,non,tt0291538,6.3,1917
QUAI DES ORFEVRES,2015-03-16,Arte,France,1.397976,5.1,Monday,non,tt0039739,7.7,6595
JEREMIAH JOHNSON,2015-04-26,Arte,Etats-Unis,1.397976,5.3,Sunday,non,tt0068762,7.6,36099
CLASSE TOUS RISQUES,2015-03-22,Arte,France / Italie,1.339727,5.2,Sunday,non,tt0052698,7.5,4637
LES VACANCES DE MONSIEUR HULOT,2015-12-21,Arte,France,1.339727,4.7,Monday,oui,tt0046487,7.3,20753
CARTOUCHE,2015-12-30,Arte,France / Italie,1.339727,5.5,Wednesday,oui,tt0055832,6.5,3037
IRON MAN,2015-05-17,6ter,Etats-Unis,0.873735,3.6,Sunday,non,tt0371746,7.9,1154324
"HELLBOY 2, LES LEGIONS D'OR MAUDITES",2015-03-29,6ter,Etats-Unis,0.640739,2.6,Sunday,non,tt0411477,7.0,291269
CARS 2,2015-12-27,6ter,Etats-Unis,0.640739,2.6,Sunday,oui,tt1216475,6.2,229403
"X-MEN, L'AFFRONTEMENT FINAL",2015-04-28,6ter,Etats-Unis,0.640739,2.4,Tuesday,non,tt0376994,6.6,554400
L'INCROYABLE HULK,2015-04-30,6ter,Etats-Unis,0.640739,2.6,Thursday,non,tt0800080,6.6,535607
X-MEN 2,2015-04-12,6ter,Etats-Unis,0.58249,2.4,Sunday,oui,tt0290334,7.4,591449
"MAMAN, J'AI ENCORE RATE L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,4.7,Thursday,oui,tt0104431,6.9,421859
"MAMAN, J'AI RATE L'AVION",2015-01-01,6ter,Etats-Unis,0.58249,2.3,Thursday,oui,tt0099785,7.7,684127
"PERCY JACKSON, LE VOLEUR DE FOUDRE",2015-10-04,6ter,Etats-Unis,0.58249,2.3,Sunday,non,tt0814255,5.9,207267
LE VOYAGE EXTRAORDINAIRE DE SAMY,2015-12-29,6ter,Belgique,0.58249,2.2,Tuesday,oui,tt1230204,6.0,8377
HUNGER GAMES,2015-10-11,C8,Etats-Unis,3.028948,12.9,Sunday,non,tt1392170,7.2,1027363
LE TERRITOIRE DES LOUPS,2015-03-09,C8,Etats-Unis,1.514474,6.1,Monday,non,tt1601913,6.7,267030
SAFE,2015-03-30,C8,Etats-Unis,1.397976,5.1,Monday,non,tt1656190,6.5,120310
LE JOUR OU LA TERRE S'ARRETA,2015-03-02,C8,Etats-Unis,1.281478,4.9,Monday,oui,tt0970416,5.5,181264
LE DERNIER REMPART,2015-09-14,C8,Etats-Unis,1.281478,5.4,Monday,non,tt1549920,6.3,147194
TANGO ET CASH,2015-04-20,C8,Etats-Unis,1.281478,5.1,Monday,oui,tt0098439,6.4,116188
JUMPER,2015-04-06,C8,Etats-Unis,1.281478,4.5,Monday,oui,tt0489099,6.1,328701
IDENTITE SECRETE,2015-02-09,C8,Etats-Unis,1.16498,4.4,Monday,non,tt1600195,5.1,84185
L'HOMME DES HAUTES PLAINES,2015-08-24,C8,Etats-Unis,1.106731,4.8,Monday,oui,tt0068699,7.4,66430
SAFE,2015-09-28,C8,Etats-Unis,1.106731,4.6,Monday,non,tt1656190,6.5,120310
LA BATAILLE DES ARDENNES,2015-10-22,CStar,Etats-Unis,0.931984,3.9,Thursday,oui,tt0058947,6.8,18278
3H10 POUR YUMA,2015-11-19,CStar,Etats-Unis,0.698988,2.8,Thursday,non,tt0381849,7.6,339412
POUR 100 BRIQUES T'AS PLUS RIEN,2015-02-26,CStar,France,0.698988,2.6,Thursday,oui,tt0084526,6.0,981
WILD WILD WEST,2015-11-26,CStar,Etats-Unis,0.640739,2.6,Thursday,non,tt0120891,4.9,169440
LE DERNIER DES TEMPLIERS,2015-11-05,CStar,Etats-Unis,0.640739,2.4,Thursday,non,tt0479997,5.4,99690
A L'AUBE DU SIXIEME JOUR,2015-06-25,CStar,Etats-Unis,0.640739,2.9,Thursday,non,tt0216216,5.9,129733
HITMAN,2015-09-03,CStar,Etats-Unis,0.58249,2.5,Thursday,non,tt0465494,6.2,181602
UNE PETITE ZONE DE TURBULENCES,2015-05-07,CStar,France,0.524241,2.4,Thursday,non,tt1376451,5.9,594
PINOT SIMPLE FLIC,2015-09-24,CStar,France,0.524241,2.2,Thursday,non,tt0087917,5.4,774
LES IMMORTELS,2015-05-14,CStar,Etats-Unis,0.524241,2.1,Thursday,non,tt1253864,6.0,178946
LES ROIS DE LA GLISSE,2015-10-22,Gulli,Etats-Unis,0.640739,2.3,Thursday,oui,tt0423294,6.7,94661
KIRIKOU ET LES BETES SAUVAGES,2015-07-30,Gulli,France,0.58249,2.6,Thursday,oui,tt0455142,6.6,1834
FOURMIZ,2015-11-13,Gulli,Etats-Unis,0.524241,3.1,Friday,non,tt0120587,6.5,166241
LES VALEURS DE LA FAMILLE ADDAMS,2015-10-26,Gulli,Etats-Unis,0.524241,2.1,Monday,oui,tt0106220,6.8,115238
LE GRINCH,2015-11-27,Gulli,Etats-Unis,0.524241,2.5,Friday,non,tt0170016,6.4,307755
LE VILAIN PETIT CANARD ET MOI,2015-07-09,Gulli,France / DK,0.524241,2.4,Thursday,oui,tt0396042,5.4,2805
LA FLUTE A SIX SCHTROUMPFS,2015-08-06,Gulli,France,0.465992,2.7,Thursday,oui,tt0074539,5.9,1517
LA FAMILLE ADDAMS,2015-10-19,Gulli,Etats-Unis,0.465992,1.9,Monday,oui,tt0101272,6.9,188597
"POKEMON, LE FILM : DIANCIE ET LE COCON DE L'ANNIHILATION",2015-03-10,Gulli,JP,0.465992,2.5,Tuesday,non,tt3918368,5.5,1903
LES AVENTURES DE ROBIN DES BOIS,2015-11-16,Gulli,Etats-Unis,0.465992,1.8,Monday,non,tt0029843,7.9,55553
THE DESCENDANTS,2015-05-24,TF1 Séries Films,Etats-Unis,0.815486,3.6,Sunday,non,tt1033575,7.3,254849
PIEGE EN EAUX TROUBLES,2015-10-11,TF1 Séries Films,Etats-Unis,0.698988,2.6,Sunday,non,tt0108238,5.9,46328
GLADIATOR,2015-06-18,TF1 Séries Films,Etats-Unis,0.698988,3.3,Thursday,non,tt0172495,8.5,1710946
CREANCE DE SANG,2015-03-01,TF1 Séries Films,Etats-Unis,0.698988,2.6,Sunday,oui,tt0309377,6.4,48840
CODE MERCURY,2015-05-19,TF1 Séries Films,Etats-Unis,0.640739,2.6,Tuesday,non,tt0120749,6.1,79061
TRAFFIC,2015-05-05,TF1 Séries Films,Etats-Unis,0.640739,2.7,Tuesday,non,tt0181865,7.6,223105
INSIDE MAN : L'HOMME DE L'INTERIEUR,2015-09-20,TF1 Séries Films,Etats-Unis,0.640739,2.8,Sunday,non,tt0454848,7.6,406437
GLADIATOR,2015-12-07,TF1 Séries Films,Etats-Unis,0.640739,2.7,Monday,non,tt0172495,8.5,1710946
AH ! SI J'ETAIS RICHE,2015-09-17,TF1 Séries Films,France,0.640739,2.5,Thursday,non,tt0315152,5.9,1449
BATMAN BEGINS,2015-05-26,TF1 Séries Films,Royaume-Uni,0.58249,2.4,Tuesday,non,tt0372784,8.2,1621312
FAST AND FURIOUS IV,2015-03-31,NRJ12,Etats-Unis,1.339727,5.3,Tuesday,non,tt1013752,6.5,318747
SOLEIL LEVANT,2015-01-13,NRJ12,Etats-Unis,1.106731,4.4,Tuesday,non,tt0107969,6.3,48934
APOLLO 13,2015-08-18,NRJ12,Etats-Unis,0.990233,5.3,Tuesday,oui,tt0112384,7.7,322519
ROAD HOUSE,2015-06-16,NRJ12,Etats-Unis,0.931984,3.9,Tuesday,non,tt3359350,6.2,159936
PASSAGER 57,2015-03-17,NRJ12,Etats-Unis,0.873735,3.4,Tuesday,non,tt0105104,5.9,51687
U-571,2015-06-02,NRJ12,Etats-Unis,0.873735,3.7,Tuesday,non,tt0141926,6.6,89186
COMPLOTS,2015-03-24,NRJ12,Etats-Unis,0.815486,3.5,Tuesday,non,tt0118883,6.7,109416
BLACK BOOK,2015-01-29,NRJ12,NL,0.815486,3.6,Thursday,non,tt0389557,7.7,81582
TERMINATOR 3 : LE SOULEVEMENT DES MACHINES,2015-09-01,NRJ12,Etats-Unis,0.815486,3.3,Tuesday,oui,tt0181852,6.3,425063
PIEGE EN HAUTE MER,2015-05-26,NRJ12,Etats-Unis,0.815486,3.0,Tuesday,non,tt0105690,6.5,97866
HOTEL TRANSYLVANIE,2015-10-20,TFX,Etats-Unis,1.630972,6.0,Tuesday,oui,tt0837562,7.0,291760
MEN IN BLACK 3,2015-04-30,TFX,Etats-Unis,1.456225,6.1,Thursday,non,tt1409024,6.8,395878
JURASSIC PARK III,2015-06-11,TFX,Etats-Unis,1.456225,6.1,Thursday,non,tt0163025,5.9,348040
FAST AND FURIOUS V,2015-04-02,TFX,Etats-Unis,1.397976,5.8,Thursday,non,tt1596343,7.3,415669
BLANCHE-NEIGE ET LE CHASSEUR,2015-06-23,TFX,Etats-Unis,1.339727,5.5,Tuesday,non,tt1735898,6.1,306865
GREEN LANTERN,2015-03-08,TFX,Etats-Unis,1.281478,5.1,Sunday,non,tt1133985,5.5,300770
PERCY JACKSON : LA MER DES MONSTRES,2015-11-10,TFX,Etats-Unis,1.281478,4.9,Tuesday,non,tt1854564,5.7,129288
SISSI,2015-11-29,TFX,AT,1.223229,4.7,Sunday,non,tt0048624,7.0,10389
LE DIABLE S'HABILLE EN PRADA,2015-11-17,TFX,Etats-Unis,1.16498,4.4,Tuesday,non,tt0458352,6.9,489133
MEN IN BLACK 2,2015-04-23,TFX,Etats-Unis,1.16498,4.7,Thursday,non,tt0120912,6.2,413522
TAKERS,2015-03-29,RMC Story,Etats-Unis,0.465992,1.8,Sunday,non,tt1135084,6.2,66763
LE NOUVEAU PROTOCOLE,2015-03-24,RMC Story,France,0.407743,1.7,Tuesday,non,tt0926763,6.1,1050
DEEP IMPACT,2015-01-11,RMC Story,Etats-Unis,0.407743,1.6,Sunday,non,tt0120647,6.3,194987
UN CRIME DANS LA TETE,2015-01-01,RMC Story,Etats-Unis,0.407743,1.6,Thursday,oui,tt0368008,6.6,119064
WILL HUNTING,2015-04-12,RMC Story,Etats-Unis,0.407743,1.6,Sunday,oui,tt0119217,8.3,1111859
L'EFFET PAPILLON,2015-09-06,RMC Story,Etats-Unis,0.349494,1.6,Sunday,non,tt0289879,7.6,533788
DOUBLE JEU,2015-05-11,RMC Story,Etats-Unis,0.349494,1.4,Monday,non,tt0150377,6.5,98602
LE STRATEGE,2015-02-26,RMC Story,Etats-Unis,0.349494,1.4,Thursday,oui,tt1210166,7.6,478441
EN PLEINE TEMPETE,2015-04-09,RMC Story,Etats-Unis,0.349494,1.4,Thursday,oui,tt0177971,6.5,181931
LA SOMME DE TOUTES LES PEURS,2015-08-30,RMC Story,Etats-Unis,0.349494,1.5,Sunday,oui,tt0164184,6.5,126922
OBLIVION,2015-12-13,TMC,Etats-Unis,2.32996,9.4,Sunday,non,tt1483013,7.0,564155
RETOUR VERS LE FUTUR 2,2015-10-22,TMC,Etats-Unis,1.980466,7.6,Thursday,oui,tt0096874,7.8,588890
L'AGE DE GLACE 2,2015-12-22,TMC,Etats-Unis,1.922217,7.3,Tuesday,oui,tt0438097,6.8,303809
RETOUR VERS LE FUTUR 3,2015-10-29,TMC,Etats-Unis,1.689221,6.6,Thursday,oui,tt0099088,7.4,493426
DIE HARD : BELLE JOURNEE POUR MOURIR,2015-12-14,TMC,Etats-Unis,1.689221,6.3,Monday,non,tt1606378,5.2,217916
BATTLESHIP,2015-11-16,TMC,Etats-Unis,1.630972,6.4,Monday,non,tt1440129,5.8,261183
EXPENDABLES 2 : UNITE SPECIALE,2015-10-05,TMC,Etats-Unis,1.572723,6.2,Monday,non,tt1764651,6.6,326517
RETOUR VERS LE FUTUR,2015-10-15,TMC,Etats-Unis,1.514474,6.3,Thursday,non,tt0088763,8.5,1351822
MISSION IMPOSSIBLE III,2015-12-17,TMC,Etats-Unis,1.514474,6.3,Thursday,non,tt0317919,6.9,399038
"LE MONDE DE NARNIA, CHAPITRE 2 : LE PRINCE CASPIAN",2015-04-27,TMC,Royaume-Uni,1.514474,6.5,Monday,non,tt0499448,6.5,230182
KILLER ELITE,2015-05-25,W9,Etats-Unis,1.863968,7.2,Monday,non,tt1448755,6.4,137146
PIRATES DES CARAIBES - LA FONTAINE DE JOUVENCE,2015-02-23,W9,Etats-Unis / Royaume-Uni,1.863968,7.3,Monday,oui,tt1298650,6.6,578058
PIRATES DES CARAIBES - LA MALEDICTION DU BLACK PEARL,2015-02-16,W9,Etats-Unis,1.689221,6.8,Monday,oui,tt0325980,8.1,1245178
"PERCY JACKSON, LE VOLEUR DE FOUDRE",2015-05-04,W9,Etats-Unis,1.572723,6.2,Monday,non,tt0814255,5.9,207267
PRETTY WOMAN,2015-02-05,W9,Etats-Unis,1.514474,6.2,Thursday,non,tt0100405,7.1,377765
JOHN CARTER,2015-04-13,W9,Etats-Unis,1.514474,5.9,Monday,oui,tt0401729,6.6,290680
TERMINATOR RENAISSANCE,2015-11-30,W9,Etats-Unis,1.514474,5.8,Monday,non,tt0438488,6.5,383066
X-MEN ORIGINS : WOLVERINE,2015-12-07,W9,Etats-Unis,1.514474,5.6,Monday,non,tt0458525,6.5,548965
ASTERIX ET LES VIKINGS,2015-02-17,W9,France,1.397976,5.2,Tuesday,oui,tt0371552,6.0,12954
LE PETIT NICOLAS,2015-04-20,W9,France / Belgique,1.397976,5.2,Monday,oui,tt1264904,7.1,14377
LES PROFS,2015-10-18,TF1,France,7.980113,28.5,Sunday,oui,tt2276778,5.2,4241
CONTAGION,2015-01-18,TF1,Etats-Unis,7.222876,28.1,Sunday,non,tt1598778,6.8,321060
LES BRONZES FONT DU SKI,2015-02-08,TF1,France,7.164627,26.1,Sunday,non,tt0078907,7.4,9478
RIEN A DECLARER,2015-11-08,TF1,France / Belgique,6.582137,24.7,Sunday,non,tt1528313,6.4,15530
ASTERIX ET OBELIX : MISSION CLEOPATRE,2015-04-19,TF1,France,6.465639,25.7,Sunday,oui,tt0250223,6.7,59362
INSIDE MAN : L'HOMME DE L'INTERIEUR,2015-01-25,TF1,Etats-Unis,6.40739,25.7,Sunday,non,tt0454848,7.6,406437
UN PLAN PARFAIT,2015-05-31,TF1,France / Belgique,6.465639,27.9,Sunday,non,tt1986843,6.3,10100
EXPENDABLES 2 : UNITE SPECIALE,2015-02-01,TF1,Etats-Unis,6.349141,24.9,Sunday,non,tt1764651,6.6,326517
DIE HARD : BELLE JOURNEE POUR MOURIR,2015-06-14,TF1,Etats-Unis,6.40739,26.4,Sunday,non,tt1606378,5.2,217916
BATTLESHIP,2015-05-03,TF1,Etats-Unis,6.290892,26.4,Sunday,non,tt1440129,5.8,261183
BELLE ET SEBASTIEN,2015-12-21,M6,France,6.290892,22.6,Monday,oui,tt3146360,6.9,5718
RED 2,2015-11-09,M6,Etats-Unis,4.368675,17.2,Monday,non,tt1821694,6.6,183796
DE L'AUTRE COTE DU PERIPH,2015-10-08,M6,France,4.193928,17.4,Thursday,non,tt1937133,5.8,6176
RED,2015-11-02,M6,Etats-Unis,4.07743,16.0,Monday,oui,tt1245526,7.0,329716
THE AVENGERS,2015-04-21,M6,Etats-Unis,3.902683,16.7,Tuesday,non,tt0848228,8.0,1489579
RAIPONCE,2015-12-28,M6,Etats-Unis,3.611438,14.1,Monday,oui,tt0398286,7.7,511308
TAKEN,2015-01-19,M6,France,3.320193,12.4,Monday,non,tt0936501,7.7,647826
IRON MAN 3,2015-10-19,M6,Etats-Unis,3.378442,14.0,Monday,oui,tt1300854,7.1,919465
LA-HAUT,2015-05-07,M6,Etats-Unis,3.320193,14.1,Thursday,non,tt1049413,8.3,1160810
TAKEN 2,2015-05-11,M6,France,3.203695,12.7,Monday,non,tt1397280,6.2,328016
9 MOIS FERME,2016-03-06,France 2,France,4.92779,18.6,Sunday,non,tt2853614,6.4,5467
LA FOLIE DES GRANDEURS,2016-01-03,France 2,France / Espagne / Italie,4.232102,16.1,Sunday,oui,tt0067108,7.2,8249
LE PERE NOEL EST UNE ORDURE,2016-12-06,France 2,France,4.116154,15.2,Tuesday,non,tt0416175,7.8,1520
JEUX DE POUVOIR,2016-10-02,France 2,Etats-Unis,3.884258,16.5,Sunday,non,tt0473705,7.1,162920
LES CHORISTES,2016-10-23,France 2,France / Suisse,3.884258,14.7,Sunday,oui,tt0372824,7.8,68659
NIGHT AND DAY,2016-12-11,France 2,Etats-Unis,3.884258,14.5,Sunday,non,tt1013743,6.3,213899
LE CORNIAUD,2016-12-19,France 2,France / Italie,3.826284,13.5,Monday,oui,tt0057967,7.3,8322
TELLEMENT PROCHES,2016-04-03,France 2,France,3.826284,14.5,Sunday,non,tt1404082,6.4,1765
CAMPING,2016-01-31,France 2,France,3.826284,14.4,Sunday,non,tt0473829,5.1,4012
INGLOURIOUS BASTERDS,2016-12-04,France 2,Etats-Unis,3.76831,16.4,Sunday,non,tt0361748,8.4,1642672
ASTERIX ET OBELIX : AU SERVICE DE SA MAJESTE,2016-12-27,France 3,France / Hongrie / Espagne / Italie,4.290076,17.3,Tuesday,oui,tt1597522,5.3,17095
MES HEROS,2016-01-28,France 3,France,3.652362,13.9,Thursday,non,tt2104062,5.7,419
PHILOMENA,2016-09-26,France 3,Royaume-Uni,3.18857,12.6,Monday,non,tt2431286,7.6,104876
LE MUR DE L'ATLANTIQUE,2016-04-18,France 3,France / Italie,3.130596,12.0,Monday,oui,tt0066108,5.8,885
"LES GARCONS ET GUILLAUME, A TABLE",2016-04-07,France 3,France,2.956674,11.8,Thursday,non,tt2315200,6.6,8127
PIECE MONTEE,2016-12-15,France 3,France,2.8987,11.6,Thursday,non,tt1399677,5.4,787
MONSIEUR BATIGNOLE,2016-01-21,France 3,France,2.782752,11.3,Thursday,non,tt0291400,7.0,3506
DIALOGUE AVEC MON JARDINIER,2016-12-08,France 3,France,2.840726,11.6,Thursday,non,tt0825244,7.1,3837
L'HEURE ZERO,2016-06-02,France 3,France,2.550856,10.1,Thursday,non,tt0889606,5.8,691
LE MAITRE D'ECOLE,2016-07-11,France 3,France,2.434908,10.1,Monday,oui,tt0082726,5.9,1193
L'AGE DE GLACE 3 - LE TEMPS DES DINOSAURES,2016-10-26,France 4,Etats-Unis,1.681246,6.3,Wednesday,oui,tt1080016,6.9,271759
CAPTAIN AMERICA : FIRST AVENGER,2016-04-21,France 4,Etats-Unis,1.275428,5.1,Thursday,oui,tt0458339,6.9,918040
IRON MAN 2,2016-04-13,France 4,Etats-Unis,1.217454,5.1,Wednesday,oui,tt1228705,6.9,889439
COWBOYS ET ENVAHISSEURS,2016-03-01,France 4,Etats-Unis,1.217454,4.6,Tuesday,non,tt0409847,6.0,235848
"MON BEAU-PERE, MES PARENTS ET MOI",2016-06-07,France 4,Etats-Unis,1.101506,4.6,Tuesday,non,tt0290002,6.3,292369
SEUL AU MONDE,2016-03-08,France 4,Etats-Unis,1.043532,4.5,Tuesday,non,tt0162222,7.8,655565
