TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes
LES INCORRUPTIBLES,2008-09-23,France 3,Etats-Unis,4.407865,19.1,Tuesday,non,tt0094226,7.8,338508
LE JOURNAL D'UNE FEMME DE CHAMBRE,2008-01-27,Arte,France / Italie,2.003575,8.0,Sunday,non,tt0058249,7.4,9971
LES AVENTURES DE ROBIN DES BOIS,2008-12-29,Arte,Etats-Unis,1.94633,7.6,Monday,oui,tt0029843,7.9,55553
LA MARIEE ETAIT EN NOIR,2008-01-28,Arte,France / Italie,1.889085,7.7,Monday,non,tt0061955,7.2,10617
JEREMIAH JOHNSON,2008-07-06,Arte,Etats-Unis,1.83184,8.1,Sunday,oui,tt0068762,7.6,36099
LE VIEIL HOMME ET L'ENFANT,2008-08-18,Arte,France,1.660105,8.3,Monday,oui,tt0063771,7.6,2587
"LES BRONZES 3, AMIS POUR LA VIE",2008-09-09,TF1,France,11.22002,47.4,Tuesday,non,tt0445800,4.0,3703
LES BRONZES FONT DU SKI,2008-12-21,TF1,France,10.475835,37.0,Sunday,oui,tt0078907,7.4,9478
ASTERIX ET OBELIX CONTRE CESAR,2008-01-29,TF1,France / Allemagne / Italie,10.132365,39.7,Tuesday,non,tt0133385,6.0,46286
LA LEGENDE DE ZORRO,2008-11-10,TF1,Etats-Unis,8.81573,35.3,Monday,non,tt0386140,6.0,109842
BENJAMIN GATES ET LE TRESOR DES TEMPLIERS,2008-02-12,TF1,Etats-Unis,8.70124,36.0,Tuesday,oui,tt0368891,6.9,363459
INDIANA JONES ET LA DERNIERE CROISADE,2008-05-12,M6,Etats-Unis,5.896235,24.4,Monday,non,tt0097576,8.2,828518
LES AVENTURIERS DE L'ARCHE PERDUE,2008-04-28,M6,Etats-Unis,5.781745,23.9,Monday,oui,tt0082971,8.4,1060775
INDIANA JONES ET LE TEMPLE MAUDIT,2008-05-05,M6,Etats-Unis,4.92307,20.0,Monday,non,tt0087469,7.5,546113
LES 4 FANTASTIQUES,2008-10-27,M6,Etats-Unis,4.80858,17.4,Monday,oui,tt0120667,5.7,351387
JURASSIC PARK,2008-02-18,M6,Etats-Unis,4.46511,17.4,Monday,oui,tt0107290,8.2,1099412
HOME,2009-06-05,France 2,France,8.3083,33.0,Friday,non,tt1014762,8.5,23201
CASINO ROYALE,2009-12-06,France 2,Royaume-Uni,5.9262,22.8,Sunday,non,tt0381061,8.0,709765
SAINT JACQUES... LA MECQUE,2009-03-08,France 2,France,5.8681,22.5,Sunday,non,tt0429052,6.3,1442
LA FOLIE DES GRANDEURS,2009-12-27,France 2,France/Espagne/Italie,5.4033,21.9,Sunday,oui,tt0067108,7.2,8249
UN CRIME AU PARADIS,2009-01-11,France 2,France,5.4033,19.5,Sunday,non,tt0245530,6.5,2046
"JE VAIS BIEN, NE T'EN FAIS PAS",2009-04-28,France 3,France,5.3452,20.2,Tuesday,non,tt0485241,7.3,11481
DANSE AVEC LES LOUPS,2009-04-21,France 3,Etats-Unis,4.7642,21.8,Tuesday,oui,tt0099348,8.0,297532
LE PASSAGER DE L'ETE,2009-02-03,France 3,France,4.2994,15.8,Tuesday,non,tt0465241,6.3,419
CREANCE DE SANG,2009-10-22,France 3,Etats-Unis,4.2413,16.8,Thursday,oui,tt0309377,6.4,48840
LE TATOUE,2009-12-21,France 3,France/Italie,4.1832,14.7,Monday,oui,tt0063674,6.5,3657
LE DEUXIEME SOUFFLE,2009-08-17,Arte,France,1.8011,10.3,Monday,oui,tt0060305,7.9,7012
UN MONDE PARFAIT,2009-10-05,Arte,Etats-Unis,1.6268,6.5,Monday,non,tt0107808,7.5,89337
DERNIER DOMICILE CONNU,2009-08-03,Arte,France/Italie,1.5687,7.2,Monday,oui,tt0064225,6.9,1972
DEUX HOMMES DANS LA VILLE,2009-01-26,Arte,France/Italie,1.5106,5.8,Monday,non,tt0069967,7.3,5385
LES AVENTURIERS,2009-08-10,Arte,France/Italie,1.5106,7.6,Monday,oui,tt0061376,7.0,4163
ASTERIX ET LES VIKINGS,2009-10-27,W9,France,1.5106,5.6,Tuesday,oui,tt0371552,6.0,12954
MR. AND MRS. SMITH,2009-03-09,W9,Etats-Unis,1.4525,5.8,Monday,non,tt0356910,6.5,557579
"OSS 117 : LE CAIRE, NID D'ESPIONS",2009-10-13,W9,France,1.2201,4.7,Tuesday,non,tt0464913,7.0,23841
ROCKY IV,2009-12-08,W9,Etats-Unis,1.2201,4.5,Tuesday,non,tt0089927,6.9,232221
LES CHEVALIERS DU CIEL,2009-11-26,W9,France,1.2201,4.7,Thursday,non,tt0421974,5.7,4806
LA GRANDE VADROUILLE,2009-12-20,TF1,France/Royaume-Uni,9.0636,33.1,Sunday,oui,tt0060474,7.9,20921
ASTERIX ET OBELIX : MISSON CLEOPATRE,2009-02-17,TF1,France,9.0055,35.5,Tuesday,oui,tt0250223,6.7,59362
LA MAISON DU BONHEUR,2009-03-29,TF1,France,8.8312,34.0,Sunday,non,tt0460858,5.5,1727
LA GUERRE DES MONDES,2009-02-15,TF1,Etats-Unis,8.4245,32.2,Sunday,oui,tt0407304,6.5,484941
LE DINER DE CONS,2009-11-15,TF1,France,8.2502,30.1,Sunday,non,tt0119038,7.6,45526
NOS JOURS HEUREUX,2009-04-23,M6,France,4.8804,20.6,Thursday,oui,tt0478566,6.8,5003
"OSS 117 : LE CAIRE, NID D'ESPIONS",2009-04-06,M6,France,4.648,17.6,Monday,non,tt0464913,7.0,23841
MILLION DOLLAR BABY,2009-11-05,M6,Etats-Unis,4.4156,19.0,Thursday,non,tt0405159,8.1,736963
DA VINCI CODE,2009-10-01,M6,Etats-Unis,4.2994,19.4,Thursday,non,tt0382625,6.6,467706
SIXIEME SENS,2009-03-26,M6,Etats-Unis,4.1251,17.2,Thursday,non,tt0167404,8.2,1082761
LES CHORISTES,2010-01-10,France 2,France / Suisse,6.246339,22.4,Sunday,non,tt0372824,7.8,68659
ZODIAC,2010-12-05,France 2,Etats-Unis,5.662569,22.7,Sunday,non,tt0443706,7.7,622298
LA FAILLE,2010-05-16,France 2,Etats-Unis,5.370684,20.8,Sunday,non,tt0488120,7.2,224456
DANS LA VALLEE D'ELAH,2010-11-14,France 2,Etats-Unis,5.020422,19.6,Sunday,non,tt0478134,7.2,75861
LE GOUT DE LA VIE,2010-11-21,France 2,Etats-Unis,4.903668,17.9,Sunday,non,tt0481141,6.3,80624
CAMPING,2010-04-27,France 3,France,7.121994,27.4,Tuesday,non,tt0473829,5.1,4012
LE MUR DE L'ATLANTIQUE,2010-05-18,France 3,France / Italie,3.969636,15.4,Tuesday,non,tt0066108,5.8,885
GLADIATOR,2010-05-13,France 3,Etats-Unis,3.911259,17.6,Thursday,non,tt0172495,8.5,1710946
LA SOUPE AUX CHOUX,2010-07-05,France 3,France,3.852882,16.1,Monday,non,tt0083109,6.5,9884
LES INCORRUPTIBLES,2010-09-09,France 3,Etats-Unis,3.736128,15.2,Thursday,non,tt0094226,7.8,338508
RIDICULE,2010-12-20,Arte,France,1.634556,5.8,Monday,oui,tt0117477,7.3,8301
LA JEUNE FILLE A LA PERLE,2010-11-16,Arte,Royaume-Uni,1.576179,6.0,Tuesday,non,tt0335119,6.9,83678
LE FILS DU DESERT,2010-05-24,Arte,Etats-Unis,1.517802,7.0,Monday,non,tt0040064,7.0,11001
MELODIE EN SOUS-SOL,2010-12-28,Arte,France / Italie,1.459425,5.8,Tuesday,oui,tt0057344,7.3,4703
LES DIABOLIQUES,2010-03-29,Arte,France,1.342671,5.1,Monday,non,tt0046911,8.1,70852
STAR WARS EPISODE 3 : LA REVANCHE DES SITH,2010-12-23,W9,Etats-Unis,1.984818,8.3,Thursday,oui,tt0121766,7.6,866485
STAR WARS EPISODE 1 : LA MENACE FANTOME,2010-12-09,W9,Etats-Unis,1.75131,7.4,Thursday,non,tt0120915,6.5,879240
STAR WARS EPISODE 2 : L'ATTAQUE DES CLONES,2010-12-16,W9,Etats-Unis,1.692933,7.0,Thursday,non,tt0121765,6.6,777729
LE RETOUR DU JEDI,2010-12-02,W9,Etats-Unis,1.576179,7.0,Thursday,non,tt0086190,8.3,1148641
