TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
LE CRIME EST NOTRE AFFAIRE;01/05/2011;France 2;France;4,800526;19
WASABI;01/02/2011;France 3;France;4,507811;16,6
LA ZIZANIE;03/03/2011;France 3;France;4,039467;15,1
MEURS UN AUTRE JOUR;25/08/2011;France 3;Royaume-Uni;3,980924;17,7
LE MONDE NE SUFFIT PAS;18/08/2011;France 3;Royaume-Uni;3,629666;18,1
L'AILE OU LA CUISSE;19/04/2011;France 3;France;3,571123;13,5
TOM HORN, SA VÉRITABLE HISTOIRE;05/12/2011;Arte;Etats-Unis;1,697747;5,8
FULL METAL JACKET;14/11/2011;Arte;Royaume-Uni;1,580661;5,6
SOUS LES VERROUS;19/12/2011;Arte;Etats-Unis;1,580661;5,1
LE NOM DE LA ROSE;18/12/2011;Arte;DE / Italie / France;1,463575;5,1
LE CHOIX DES ARMES;06/11/2011;Arte;France;1,405032;5,2
UNE JOURNÉE EN ENFER;13/11/2011;W9;Etats-Unis;2,107548;8,2
RASTA ROCKETT;18/12/2011;W9;Etats-Unis;2,049005;6,8
PIÈGE DE CRISTAL;30/10/2011;W9;Etats-Unis;1,931919;7,8
ASTÉRIX LE GAULOIS;25/07/2011;W9;France;1,814833;7,5
BAD BOYS II;09/10/2011;W9;Etats-Unis;1,75629;7,1
DE L'AUTRE CÔTÉ DU LIT;06/02/2011;TF1;France;9,425423;35,3
DIE HARD 4 – RETOUR EN ENFER;22/05/2011;TF1;Etats-Unis;9,015622;37,7
LOL – LAUGHING OUT LOUD;27/11/2011;TF1;France;8,313106;28,7
LE CODE A CHANGÉ;04/09/2011;TF1;France;8,137477;32,2
PRÊTE-MOI TA MAIN;23/01/2011;TF1;France;8,078934;29,3
LE PETIT NICOLAS;01/09/2011;M6;France / Belgique;7,61059;30,3
VILAINE;04/08/2011;M6;France;4,449268;21,5
LA BELLE ET LA BÊTE;19/12/2011;M6;Etats-Unis;4,449268;14,7
CARS – QUATRE ROUES;21/07/2011;M6;Etats-Unis;4,390725;19,9
INDIANA JONES ET LE ROYAUME DU CRÂNE DE CRISTAL;31/10/2011;M6;Etats-Unis;4,273639;17
TITANIC;15/04/2012;France 2;Etats-Unis;6,424242;26,7
NEUILLY SA MÈRE;19/02/2012;France 2;France;6,129552;21,4
LES TONTONS FLINGUEURS;02/12/2012;France 2;France/Italie/DE;5,422296;20,2
LES CHORISTES;04/03/2012;France 2;France/CH;5,422296;19,2
CAMPING;01/04/2012;France 2;France;5,245482;19,1
PIÈCE MONTÉE;13/09/2012;France 3;France;3,772032;14,5
LE MUR DE L'ATLANTIQUE;30/08/2012;France 3;France/Italie;3,713094;14,8
LES RIVIÈRES POURPRES;20/09/2012;France 3;France;3,477342;14
LES SŒURS FÂCHÉES;16/02/2012;France 3;France;3,300528;11,7
LE TEMPS DES PORTE-PLUMES;06/09/2012;France 3;France;3,123714;12,4
SA MÈRE OU MOI;10/06/2012;France 4;Etats-Unis;1,650264;6,3
CROCODILE DUNDEE;26/08/2012;France 4;AU;1,591326;6,9
TITANIC;30/12/2012;France 4;Etats-Unis;1,532388;7
RUSH HOUR 2;24/04/2012;France 4;Etats-Unis;1,532388;5,4
TERMINATOR 2;08/01/2012;France 4;Etats-Unis;1,296636;4,7
THE PLEDGE;22/05/2012;Arte;Etats-Unis;1,709202;6,4
LE CRIME ÉTAIT PRESQUE PARFAIT;30/12/2012;Arte;Etats-Unis;1,709202;6,5
PEUR SUR LA VILLE;02/07/2012;Arte;France/Italie;1,650264;6,4
LA FIRME;05/01/2012;Arte;Etats-Unis;1,591326;6,4
LE PARRAIN;08/01/2012;Arte;Etats-Unis;1,591326;6,7
L'HOMME DES HAUTES PLAINES;19/02/2012;C8;Etats-Unis;1,47345;5,3
LE TATOUÉ;16/12/2012;C8;France/Italie;1,237698;4,5
LE CLIENT;12/06/2012;C8;Etats-Unis;1,237698;4,8
MILLION DOLLAR BABY;07/10/2012;C8;Etats-Unis;1,17876;4,8
LE 13ÈME GUERRIER;08/10/2012;C8;Etats-Unis;1,17876;4,4
LA GUERRE DES BOUTONS;23/02/2012;Gulli;France;1,650264;5,8
LA FERME EN FOLIE;17/04/2012;Gulli;Etats-Unis;1,060884;3,8
GEORGE DE LA JUNGLE;12/06/2012;Gulli;Etats-Unis;1,001946;3,8
SOURIS CITY;30/12/2012;Gulli;Etats-Unis;1,001946;3,8
SPIRIT, L'ÉTALON DES PLAINES;21/02/2012;Gulli;Etats-Unis;0,943008;3,1
ERAGON;20/02/2012;NRJ12;Etats-Unis;1,591326;5,7
FAST AND FURIOUS 4;30/01/2012;NRJ12;Etats-Unis;1,237698;4,5
GARFIELD LE FILM;06/03/2012;NRJ12;Etats-Unis;1,237698;4,2
XXX 2 : THE NEXT LEVEL;14/05/2012;NRJ12;Etats-Unis;1,119822;4,1
LA NEUVIÈME PORTE;26/11/2012;NRJ12;France/Espagne;1,060884;4,2
LA MORT DANS LA PEAU;19/04/2012;TFX;Etats-Unis;1,827078;7
PHÈNOMÈNES;05/01/2012;TFX;Etats-Unis;1,76814;6,3
SHOOTER, TIREUR D'ÉLITE;09/02/2012;TFX;Etats-Unis;1,47345;5,7
RETOUR VERS LE FUTUR;14/02/2012;TFX;Etats-Unis;1,237698;4,6
300;24/05/2012;TFX;Etats-Unis;1,237698;5,1
THE BODYGUARD;13/02/2012;TMC;Etats-Unis;2,06283;7,5
ARMAGEDDON;27/02/2012;TMC;Etats-Unis;1,886016;7,4
JURASSIC PARK III;22/03/2012;TMC;Etats-Unis;1,76814;6,8
LES VISITEURS 2;26/04/2012;TMC;France;1,709202;6,4
JE SUIS UNE LÉGENDE;16/04/2012;TMC;Etats-Unis;1,650264;5,9
PRETTY WOMAN;17/06/2012;W9;Etats-Unis;1,886016;7,8
ASTÉRIX CHEZ LES BRETONS;16/07/2012;W9;France;1,591326;6,6
ASTÉRIX ET LA SURPRISE DE CÉSAR;09/07/2012;W9;France;1,591326;6,5
WANTED : CHOISIS TON DESTIN;06/02/2012;W9;Etats-Unis;1,591326;5,7
NANNY MCPHEE;27/12/2012;W9;Royaume-Uni;1,591326;6,2
GRAN TORINO;11/03/2012;TF1;Etats-Unis;9,489018;36,9
L'ÂGE DE GLACE 3 : LE TEMPS DES DINOSAURES;28/10/2012;TF1;Etats-Unis;9,194328;33,6
LES BRONZÉS FONT DU SKI;26/02/2012;TF1;France;9,076452;32,6
LA GRANDE VADROUILLE;01/01/2012;TF1;France/Royaume-Uni;8,899638;35,2
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE;04/03/2012;TF1;France;8,428134;31,6
LA VÉRITÉ SI JE MENS 2;31/01/2012;M6;France;6,129552;22,5
NE LE DIS À PERSONNE;15/10/2012;M6;France;5,127606;21,2
PRÉDICTIONS;24/01/2012;M6;AU;4,832916;18,4
LÀ-HAUT;08/04/2012;M6;Etats-Unis;4,773978;18,9
2012;18/12/2012;M6;Etats-Unis;4,71504;19,1
LES TONTONS FLINGUEURS;24/11/2013;France 2;France / Italie / DE;6,75222;24,2
SHUTTER ISLAND;03/02/2013;France 2;Etats-Unis;6,10069;23,2
INVICTUS;08/12/2013;France 2;Etats-Unis;5,21224;19,5
QUANTUM OF SOLACE;15/12/2013;France 2;Royaume-Uni;5,15301;18,5
NIGHT AND DAY;05/05/2013;France 2;Etats-Unis;5,09378;19,6
LA SOUPE AUX CHOUX;18/04/2013;France 3;France;4,1461;15,8
L'AILE OU LA CUISSE;07/03/2013;France 3;France;3,25765;12,4
TRUE GRIT;10/10/2013;France 3;Etats-Unis;3,19842;12,2
RED;21/11/2013;France 3;Etats-Unis;3,13919;11,8
JE VAIS BIEN, NE T'EN FAIS PAS;28/11/2013;France 3;France;3,07996;11,5
THOR;28/10/2013;France 4;Etats-Unis;2,19151;7,9
LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS;03/11/2013;France 4;NZ;1,65844;7,2
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT;28/04/2013;France 4;Etats-Unis;1,53998;5,5
LA VIE EST UN LONG FLEUVE TRANQUILLE;22/12/2013;France 4;France;1,36229;4,8
THE GREEN HORNET;11/11/2013;France 4;Etats-Unis;1,30306;4,4
SLEEPY HOLLOW, LA LÉGENDE DU CAVALIER SANS TÊTE;02/01/2013;Arte;Etats-Unis;1,95459;7
TOUCHEZ PAS AU GRISBI;25/11/2013;Arte;France / Italie;1,89536;6,7
MISSISSIPPI BURNING;11/03/2013;Arte;Etats-Unis;1,65844;6,5
SENS UNIQUE;25/02/2013;Arte;Etats-Unis;1,65844;5,8
BUFFET FROID;16/12/2013;Arte;France;1,59921;5,6
SEVEN;11/02/2013;C8;Etats-Unis;2,13228;8
HORS DE CONTRÔLE;01/04/2013;C8;Etats-Unis;1,71767;6,4
RAMBO III;12/11/2013;C8;Etats-Unis;1,65844;6
RAMBO;26/11/2013;C8;Etats-Unis;1,53998;5,6
AU CŒUR DU MENSONGE;02/06/2013;C8;France;1,48075;5,8
LE DROIT DE TUER;10/09/2013;CStar;Etats-Unis;0,76999;3,2
LE GRAND TOURNOI;28/11/2013;CStar;Etats-Unis;0,65153;2,6
MISSION : IMPOSSIBLE;30/05/2013;CStar;Etats-Unis;0,65153;2,5
LA GUERRE DES BOUTONS, ÇA RECOMMENCE;01/08/2013;CStar;Royaume-Uni / France;0,65153;3,3
QUELQUES MESSIEURS TROP TRANQUILLES;16/09/2013;CStar;France;0,53307;2,3
PLANÈTE 51;14/05/2013;Gulli;Espagne;1,24383;4,5
LA COCCINELLE REVIENT;27/10/2013;Gulli;Etats-Unis;1,12537;4,1
SNOWFLAKE, LE GORILLE BLANC;29/01/2013;Gulli;Espagne;0,94768;3,3
ANASTASIA;08/01/2013;Gulli;Etats-Unis;0,82922;3,1
LA GUERRE DES BOUTONS;13/06/2013;Gulli;France;0,82922;3
FAST AND FURIOUS 4;21/05/2013;NRJ12;Etats-Unis;1,71767;6,5
LE DERNIER CHEYENNE;05/02/2013;NRJ12;Etats-Unis;1,12537;4,3
CLEANER;18/06/2013;NRJ12;Etats-Unis;1,12537;4,3
MON VOISIN LE TUEUR;04/06/2013;NRJ12;Etats-Unis;1,06614;4
LE TOMBEAU;28/05/2013;NRJ12;Royaume-Uni;0,94768;3,5
X-MEN : L'AFFRONTEMENT FINAL;02/05/2013;TFX;Etats-Unis;1,53998;5,9
X-MEN ORIGINS : WOLVERINE;09/05/2013;TFX;Etats-Unis;1,48075;6
LE TRANSPORTEUR;14/02/2013;TFX;France;1,42152;5,5
G.I. JOE : LE RÉVEIL DU COBRA;21/03/2013;TFX;Etats-Unis;1,24383;5
LE MONDE PERDU DE JURASSIC PARK;12/12/2013;TFX;Etats-Unis;1,1846;5,1
MOI, MOCHE ET MÉCHANT;24/10/2013;TMC;Etats-Unis;2,25074;8,3
MAMAN, J'AI RATÉ L'AVION;26/12/2013;TMC;Etats-Unis;1,7769;7,1
CHAOS;09/12/2013;TMC;Royaume-Uni;1,65844;6,2
BRAQUAGE À L'ITALIENNE;03/06/2013;TMC;Etats-Unis;1,65844;6,1
OÙ SONT PASSÉS LES MORGAN ?;21/02/2013;TMC;Etats-Unis;1,59921;6,4
ARRÊTE-MOI SI TU PEUX;07/01/2013;W9;Etats-Unis;2,13228;8,5
TAKEN;04/02/2013;W9;France;2,07305;7,5
IRON MAN;11/06/2013;W9;Etats-Unis;1,89536;7,6
KICK-ASS;24/06/2013;W9;Royaume-Uni;1,59921;6,1
UNE JOURNÉE EN ENFER;05/09/2013;W9;Etats-Unis;1,53998;6,5
RIEN À DÉCLARER;26/05/2013;TF1;France / Belgique;9,95064;37,4
AVATAR;10/11/2013;TF1;Etats-Unis;9,71372;39,1
SHREK 4, IL ÉTAIT UNE FIN;20/10/2013;TF1;Etats-Unis;8,2922;29,3
SANS IDENTITÉ;24/03/2013;TF1;DE / Royaume-Uni / France;8,35143;31,5
L'AGENCE TOUS RISQUES;17/02/2013;TF1;Etats-Unis;7,6999;29,5
LES PETITS MOUCHOIRS;12/03/2013;M6;France;4,97532;21
RAIPONCE;23/12/2013;M6;Etats-Unis;4,50148;16,1
LE PETIT NICOLAS;26/02/2013;M6;France / Belgique;4,44225;15,1
L'APPRENTI SORCIER;19/12/2013;M6;Etats-Unis;3,84995;15,7
UNE JOURNÉE EN ENFER;23/05/2013;M6;Etats-Unis;3,67226;15,3
CAPTAIN AMERICA : FIRST AVENGER;27/04/2014;France 2;Etats-Unis;5,141091;19,3
LES FEMMES DU 6E ÉTAGE;09/03/2014;France 2;France;5,081998;18,9
LES AVENTURES DE RABBI JACOB;29/06/2014;France 2;France / Italie;4,904719;19,2
L'AGENCE TOUS RISQUES;28/12/2014;France 2;Etats-Unis;4,431975;16,9
INGLOURIOUS BASTERDS;12/10/2014;France 2;Etats-Unis;4,313789;18,3
LE JOUR LE PLUS LONG;05/06/2014;France 3;Royaume-Uni / Etats-Unis;3,486487;16,6
LE MUR DE L'ATLANTIQUE;03/07/2014;France 3;France / Italie;3,368301;15
PIÈCE MONTÉE;04/09/2014;France 3;France;3,309208;13,8
LE DISCOURS D'UN ROI;27/02/2014;France 3;Royaume-Uni;2,895557;11,4
MYSTIC RIVER;06/11/2014;France 3;Etats-Unis;2,895557;11,9
IRON MAN 2;30/03/2014;France 4;Etats-Unis;1,831883;7
MADAME DOUBTFIRE;17/08/2014;France 4;Etats-Unis;1,536418;7,4
LA SOUPE AUX CHOUX;30/04/2014;France 4;France;1,477325;5,8
SEUL AU MONDE;26/03/2014;France 4;Etats-Unis;1,240953;5,3
LE BON, LA BRUTE ET LE TRUAND;31/08/2014;France 4;Italie;1,240953;5,5
POLISSE;23/11/2014;Arte;France;2,718278;10,1
LE TRAIN SIFFLERA TROIS FOIS;02/02/2014;Arte;Etats-Unis;1,77279;6,3
WITNESS;31/08/2014;Arte;Etats-Unis;1,654604;6,5
UN CŒUR EN HIVER;27/04/2014;Arte;France;1,595511;5,9
L'HORLOGER DE SAINT-PAUL;23/02/2014;Arte;France;1,595511;5,8
JUMANJI;14/08/2014;6ter;Etats-Unis;0,709116;3,7
TOY STORY 3;13/03/2014;6ter;Etats-Unis;0,472744;1,9
ERAGON;14/09/2014;6ter;Etats-Unis;0,472744;1,8
BAD BOYS II;07/09/2014;6ter;Etats-Unis;0,472744;2
QUI VEUT LA PEAU DE ROGER RABBIT;30/10/2014;6ter;Etats-Unis;0,413651;1,6
BLITZ;03/02/2014;C8;Royaume-Uni;1,831883;6,7
LE CODE A CHANGÉ;15/05/2014;C8;France;1,477325;6
LES CANONS DE NAVARONE;03/06/2014;C8;Royaume-Uni;1,359139;6,4
RAMBO 2 - LA MISSION;11/11/2014;C8;Etats-Unis;1,359139;5
RAMBO;04/11/2014;C8;Etats-Unis;1,359139;5,2
MISSION ALCATRAZ;13/03/2014;CStar;Etats-Unis;0,768209;3,1
ROGUE : L'ULTIME AFFRONTEMENT;16/10/2014;CStar;Etats-Unis;0,768209;3
SUPER-HÉROS MOVIE;01/05/2014;CStar;Etats-Unis;0,709116;2,8
LE CASSE DU SIÈCLE;29/05/2014;CStar;Royaume-Uni;0,650023;2,8
LE TÉMOIN DU MAL;02/01/2014;CStar;Etats-Unis;0,650023;2,6
MAMAN, J'AI ENCORE RATÉ L'AVION;04/03/2014;Gulli;Etats-Unis;1,122767;4,5
MAMAN, J'AI RATÉ L'AVION;25/02/2014;Gulli;Etats-Unis;1,122767;4,2
TOUS À L'OUEST;17/08/2014;Gulli;France;0,768209;3,7
THOR ET LES LÉGENDES DU VALHALLA;11/03/2014;Gulli;IS / DE / IE;0,768209;2,9
POISSON D'AVRIL;31/03/2014;Gulli;France;0,768209;2,9
L'ARME FATALE III;04/05/2014;TF1 Séries Films;Etats-Unis;0,709116;2,8
RETOUR VERS LE FUTUR;06/05/2014;TF1 Séries Films;Etats-Unis;0,709116;2,8
GLADIATOR;22/06/2014;TF1 Séries Films;Etats-Unis;0,59093;2,9
L'ARME FATALE;14/09/2014;TF1 Séries Films;Etats-Unis;0,59093;2,5
LE CERCLE DES POÈTES DISPARUS;14/08/2014;TF1 Séries Films;Etats-Unis;0,531837;2,9
ROBOCOP;02/02/2014;NRJ12;Etats-Unis;0,886395;3,3
ROBOCOP 2;02/02/2014;NRJ12;Etats-Unis;0,886395;7,8
LE DERNIER CHEYENNE;14/01/2014;NRJ12;Etats-Unis;0,886395;3,3
BRAVEHEART;16/01/2014;NRJ12;Etats-Unis;0,827302;3,6
MON VOISIN LE TUEUR;18/11/2014;NRJ12;Etats-Unis;0,827302;3
X-MEN ORIGINS : WOLVERINE;15/05/2014;TFX;Etats-Unis;1,536418;6,4
DRAGONS;01/07/2014;TFX;Etats-Unis;1,477325;6,2
LES 4 FANTASTIQUES ET LE SURFER D'ARGENT;02/01/2014;TFX;Etats-Unis;1,300046;4,7
RESIDENT EVIL : AFTERLIFE;16/01/2014;TFX;DE / France;1,122767;4,3
DAREDEVIL;09/01/2014;TFX;Etats-Unis;1,122767;4,2
LOIN DU PARADIS;24/08/2014;RMC Story;Etats-Unis;0,354558;1,6
K-19, LE PIÈGE DES PROFONDEURS;18/09/2014;RMC Story;Etats-Unis;0,354558;1,6
MULHOLLAND DRIVE;28/12/2014;RMC Story;Etats-Unis;0,354558;1,4
TWISTER;29/06/2014;RMC Story;Etats-Unis;0,354558;1,4
ESPRIT DE FAMILLE;18/12/2014;RMC Story;Etats-Unis;0,295465;1,2
LE TRANSPORTEUR 2;17/03/2014;TMC;France;2,009162;7,6
TRUE LIES : LE CAMÉLÉON;18/12/2014;TMC;Etats-Unis;1,831883;7,9
LES VISITEURS;13/11/2014;TMC;France;1,654604;6,5
L'ENQUÊTE CORSE;02/10/2014;TMC;France;1,654604;6,6
PIRATES DES CARAÏBES : LE SECRET DU COFFRE MAUDIT;21/04/2014;TMC;Etats-Unis;1,595511;6,7
IRON MAN;06/02/2014;W9;Etats-Unis;1,831883;7,8
STAR WARS : ÉPISODE 3 - LA REVANCHE DES SITH;30/12/2014;W9;Etats-Unis;1,831883;7,3
RASTA ROCKETT;20/02/2014;W9;Etats-Unis;1,713697;6,8
STAR WARS : ÉPISODE 2 - L'ATTAQUE DES CLONES;23/12/2014;W9;Etats-Unis;1,654604;6,9
SOURCE CODE;04/12/2014;W9;Etats-Unis;1,477325;5,5
INTOUCHABLES;07/12/2014;TF1;France;13,886855;48,5
BIENVENUE CHEZ LES CH'TIS;02/03/2014;TF1;France;11,464042;41,2
LES TUCHE;16/02/2014;TF1;France;8,568485;32,1
LE PRÉNOM;30/12/2014;TF1;France;7,977555;30
DIE HARD 4 : RETOUR EN ENFER;09/03/2014;TF1;Etats-Unis;7,386625;30,1
REBELLE;22/12/2014;M6;Etats-Unis;5,081998;18,2
INDIANA JONES ET LE ROYAUME DU CRÂNE DE CRISTAL;11/03/2014;M6;Etats-Unis;3,959231;16,4
LA GUERRE DES ÉTOILES;28/01/2014;M6;Etats-Unis;3,841045;15
INDIANA JONES ET LA DERNIÈRE CROISADE;04/03/2014;M6;Etats-Unis;3,722859;15,4
BIENVENUE À BORD;08/04/2014;M6;France;3,663766;13,7
SKYFALL;08/11/2015;France 2;Royaume-Uni;6,815133;26,7
QUANTUM OF SOLACE;22/11/2015;France 2;Royaume-Uni;5,533655;20,2
JACK REACHER;13/09/2015;France 2;Etats-Unis;5,24241;20,9
ASTÉRIX ET OBÉLIX : AU SERVICE DE SA MAJESTÉ;18/10/2015;France 2;France / Hongrie / Espagne / Italie;4,892916;17,8
CASINO ROYALE;15/11/2015;France 2;Royaume-Uni;4,776418;21,1
DE L'AUTRE CÔTÉ DU LIT;29/03/2015;France 2;France;4,65992;17,4
PAULETTE;27/09/2015;France 2;France;4,65992;18,1
LA FAILLE;22/02/2015;France 2;Etats-Unis;4,485173;17
LE PÈRE NOËL EST UNE ORDURE;04/01/2015;France 2;France;4,135679;15,3
NIGHT AND DAY;18/01/2015;France 2;Etats-Unis;4,019181;15,2
L'AILE OU LA CUISSE;30/04/2015;France 3;France;3,145446;13,1
LA SOUPE AUX CHOUX;22/10/2015;France 3;France;2,91245;10,6
INDEPENDENCE DAY;26/11/2015;France 3;Etats-Unis;2,795952;11,7
OCEAN'S 13;10/12/2015;France 3;Etats-Unis;2,795952;11,5
LES TROIS FRÈRES;16/04/2015;France 3;France;2,737703;11
UN BALCON SUR LA MER;24/09/2015;France 3;France;2,679454;11,4
PAULINE DÉTECTIVE;25/08/2015;France 3;France;2,679454;11,4
LA GUERRE DES MONDES;26/02/2015;France 3;Etats-Unis;2,562956;10,1
LE GRAND PARDON;12/02/2015;France 3;France;2,562956;10,6
FANNY;29/12/2015;France 3;France;2,504707;9,8
LE JOUR D'APRÉS;06/12/2015;France 4;Etats-Unis;1,689221;6,6
LE CINQUIÉME ÉLÉMENT;29/04/2015;France 4;France;1,514474;5,9
LE SEIGNEUR DES ANNEAUX - LE RETOUR DU ROI;08/03/2015;France 4;NZ;1,281478;6,3
LE CINQUIÉME ÉLÉMENT;02/12/2015;France 4;France;1,223229;4,7
MATRIX;09/06/2015;France 4;Etats-Unis;1,16498;4,7
USUAL SUSPECTS;15/02/2015;France 4;Etats-Unis;1,106731;4,2
JUMPER;13/12/2015;France 4;Etats-Unis;1,048482;3,7
LE SEIGNEUR DES ANNEAUX - LA COMMUNAUTE DE L'ANNEAU;22/02/2015;France 4;NZ;0,990233;4,5
LA GUERRE DES MONDES;20/10/2015;France 4;Etats-Unis;0,990233;3,7
LES GRANDES VACANCES;08/07/2015;France 4;France / Italie;0,990233;4,4
JACKIE BROWN;27/04/2015;France Ô;Etats-Unis;0,524241;2,2
RIEN QUE POUR VOS YEUX;06/04/2015;France Ô;Royaume-Uni;0,524241;1,9
L'HOMME DE CHEVET;13/04/2015;France Ô;France;0,465992;1,8
PAPILLON;07/12/2015;France Ô;BS;0,465992;1,8
POINT BREAK - EXTRÊME LIMITE;31/08/2015;France Ô;Etats-Unis;0,465992;1,8
SHAFT;12/10/2015;France Ô;Etats-Unis;0,465992;1,7
LES DIAMANTS SONT ÉTERNELS;28/09/2015;France Ô;Royaume-Uni;0,465992;1,8
ON NE VIT QUE DEUX FOIS;05/10/2015;France Ô;Royaume-Uni;0,407743;1,6
DANGEREUSEMENT VÔTRE;21/09/2015;France Ô;Royaume-Uni;0,407743;1,7
OCTOPUSSY;30/03/2015;France Ô;Royaume-Uni;0,349494;1,4
LE VIEIL HOMME ET L'ENFANT;21/09/2015;Arte;France;1,74747;6,6
LA NUIT NOUS APPARTIENT;02/02/2015;Arte;Etats-Unis;1,514474;5,6
TAXI DRIVER;26/10/2015;Arte;Etats-Unis;1,514474;5,9
LE TEMPS D'AIMER, LE TEMPS DE MOURIR;09/02/2015;Arte;Etats-Unis;1,397976;5,5
UNE FEMME DE MÉNAGE;09/09/2015;Arte;France;1,456225;5,9
QUAI DES ORFÈVRES;16/03/2015;Arte;France;1,397976;5,1
JEREMIAH JOHNSON;26/04/2015;Arte;Etats-Unis;1,397976;5,3
CLASSE TOUS RISQUES;22/03/2015;Arte;France / Italie;1,339727;5,2
LES VACANCES DE MONSIEUR HULOT;21/12/2015;Arte;France;1,339727;4,7
CARTOUCHE;30/12/2015;Arte;France / Italie;1,339727;5,5
IRON MAN;17/05/2015;6ter;Etats-Unis;0,873735;3,6
HELLBOY 2, LES LÉGIONS D'OR MAUDITES;29/03/2015;6ter;Etats-Unis;0,640739;2,6
CARS 2;27/12/2015;6ter;Etats-Unis;0,640739;2,6
X-MEN, L'AFFRONTEMENT FINAL;28/04/2015;6ter;Etats-Unis;0,640739;2,4
L'INCROYABLE HULK;30/04/2015;6ter;Etats-Unis;0,640739;2,6
X-MEN 2;12/04/2015;6ter;Etats-Unis;0,58249;2,4
MAMAN, J'AI ENCORE RATÉ L'AVION;01/01/2015;6ter;Etats-Unis;0,58249;4,7
MAMAN, J'AI RATÉ L'AVION;01/01/2015;6ter;Etats-Unis;0,58249;2,3
PERCY JACKSON, LE VOLEUR DE FOUDRE;04/10/2015;6ter;Etats-Unis;0,58249;2,3
LE VOYAGE EXTRAORDINAIRE DE SAMY;29/12/2015;6ter;Belgique;0,58249;2,2
HUNGER GAMES;11/10/2015;C8;Etats-Unis;3,028948;12,9
LE TERRITOIRE DES LOUPS;09/03/2015;C8;Etats-Unis;1,514474;6,1
SAFE;30/03/2015;C8;Etats-Unis;1,397976;5,1
LE JOUR OÙ LA TERRE S'ARRÊTA;02/03/2015;C8;Etats-Unis;1,281478;4,9
LE DERNIER REMPART;14/09/2015;C8;Etats-Unis;1,281478;5,4
TANGO ET CASH;20/04/2015;C8;Etats-Unis;1,281478;5,1
JUMPER;06/04/2015;C8;Etats-Unis;1,281478;4,5
IDENTITÉ SECRÈTE;09/02/2015;C8;Etats-Unis;1,16498;4,4
L'HOMME DES HAUTES PLAINES;24/08/2015;C8;Etats-Unis;1,106731;4,8
SAFE;28/09/2015;C8;Etats-Unis;1,106731;4,6
LA BATAILLE DES ARDENNES;22/10/2015;CStar;Etats-Unis;0,931984;3,9
3H10 POUR YUMA;19/11/2015;CStar;Etats-Unis;0,698988;2,8
POUR 100 BRIQUES T'AS PLUS RIEN;26/02/2015;CStar;France;0,698988;2,6
WILD WILD WEST;26/11/2015;CStar;Etats-Unis;0,640739;2,6
LE DERNIER DES TEMPLIERS;05/11/2015;CStar;Etats-Unis;0,640739;2,4
A L'AUBE DU SIXIÈME JOUR;25/06/2015;CStar;Etats-Unis;0,640739;2,9
HITMAN;03/09/2015;CStar;Etats-Unis;0,58249;2,5
UNE PETITE ZONE DE TURBULENCES;07/05/2015;CStar;France;0,524241;2,4
PINOT SIMPLE FLIC;24/09/2015;CStar;France;0,524241;2,2
LES IMMORTELS;14/05/2015;CStar;Etats-Unis;0,524241;2,1
LES ROIS DE LA GLISSE;22/10/2015;Gulli;Etats-Unis;0,640739;2,3
KIRIKOU ET LES BÊTES SAUVAGES;30/07/2015;Gulli;France;0,58249;2,6
FOURMIZ;13/11/2015;Gulli;Etats-Unis;0,524241;3,1
LES VALEURS DE LA FAMILLE ADDAMS;26/10/2015;Gulli;Etats-Unis;0,524241;2,1
LE GRINCH;27/11/2015;Gulli;Etats-Unis;0,524241;2,5
LE VILAIN PETIT CANARD ET MOI;09/07/2015;Gulli;France / DK;0,524241;2,4
LA FLÛTE À SIX SCHTROUMPFS;06/08/2015;Gulli;France;0,465992;2,7
LA FAMILLE ADDAMS;19/10/2015;Gulli;Etats-Unis;0,465992;1,9
POKÉMON, LE FILM : DIANCIE ET LE COCON DE L'ANNIHILATION;10/03/2015;Gulli;JP;0,465992;2,5
LES AVENTURES DE ROBIN DES BOIS;16/11/2015;Gulli;Etats-Unis;0,465992;1,8
THE DESCENDANTS;24/05/2015;TF1 Séries Films;Etats-Unis;0,815486;3,6
PIÈGE EN EAUX TROUBLES;11/10/2015;TF1 Séries Films;Etats-Unis;0,698988;2,6
GLADIATOR;18/06/2015;TF1 Séries Films;Etats-Unis;0,698988;3,3
CRÉANCE DE SANG;01/03/2015;TF1 Séries Films;Etats-Unis;0,698988;2,6
CODE MERCURY;19/05/2015;TF1 Séries Films;Etats-Unis;0,640739;2,6
TRAFFIC;05/05/2015;TF1 Séries Films;Etats-Unis;0,640739;2,7
INSIDE MAN : L'HOMME DE L'INTÉRIEUR;20/09/2015;TF1 Séries Films;Etats-Unis;0,640739;2,8
GLADIATOR;07/12/2015;TF1 Séries Films;Etats-Unis;0,640739;2,7
AH ! SI J'ÉTAIS RICHE;17/09/2015;TF1 Séries Films;France;0,640739;2,5
BATMAN BEGINS;26/05/2015;TF1 Séries Films;Royaume-Uni;0,58249;2,4
FAST AND FURIOUS 4;31/03/2015;NRJ12;Etats-Unis;1,339727;5,3
