TITRE;Date de diffusion;Chaîne;Nationalité;Téléspectateurs (en millions);Part d'audience (en %)
LES AVENTURES DE RABBI JACOB;30/12/2001;TF1;France;9,83196;38,8
58 MINUTES POUR VIVRE;25/02/2001;TF1;Etats-Unis;9,7791;42,6
LE DERNIER SAMARITAIN;14/01/2001;TF1;Etats-Unis;9,62052;40,2
LE CERVEAU;18/03/2001;M6;France/Italie;6,02604;27,1
BAD BOYS FLICS DE CHOC;22/01/2001;M6;Etats-Unis;6,02604;26,8
MONEY TRAIN;05/02/2001;M6;Etats-Unis;5,65602;24,6
SENS UNIQUE;26/02/2001;M6;Etats-Unis;5,60316;24,3
LE GRAND TOURNOI;19/02/2001;M6;Etats-Unis;5,23314;21,3
L'ARME FATALE 4;10/03/2002;France 2;Etats-Unis;8,639;36,9
SPEED;23/04/2002;France 2;Etats-Unis;7,473;33,3
LES PLEINS POUVOIRS;24/11/2002;France 2;Etats-Unis;7,367;30,8
HAUTE VOLTIGE;05/11/2002;France 2;Etats-Unis;6,943;31,1
MEURTRE À LA MAISON BLANCHE;03/09/2002;France 2;Etats-Unis;6,572;29,7
LA VIE EST BELLE;14/01/2002;France 3;Italie;7,155;30,6
L'EFFACEUR;14/03/2002;France 3;Etats-Unis;6,519;28,3
LE BONHEUR EST DANS LE PRÉ;05/12/2002;France 3;France;6,466;27,9
LE FUGITIF;28/11/2002;France 3;Etats-Unis;5,936;25,9
LA RANÇON;17/10/2002;France 3;Etats-Unis;5,247;23,3
LE PEUPLE SINGE;01/11/2002;France 5;France;0,795;8,3
POUCELINA;03/01/2002;France 5;Etats-Unis;0,742;10,2
LE ROI ET L'OISEAU;01/01/2002;France 5;France;0,742;6,8
FIFI BRINDACIER;04/01/2002;France 5;Allemagne;0,689;9
AU BONHEUR DES DAMES;28/08/2002;France 5;France;0,53;10,8
MAIGRET TEND UN PIÈGE;14/10/2002;Arte;France/Italie;2,597;10,3
JEREMIAH JOHNSON;31/03/2002;Arte;Etats-Unis;2,332;11,7
MON ONCLE;30/12/2002;Arte;France/Italie;2,332;9,9
SALOMON ET LA REINE DE SABA;27/01/2002;Arte;Etats-Unis;2,279;10
LA BELLE AMÉRICAINE;12/05/2002;Arte;France;2,12;9,2
6 JOURS 7 NUITS;17/02/2002;TF1;Etats-Unis;10,971;44
TAXI 2;01/10/2002;TF1;France;10,388;42,4
LE MASQUE DE ZORRO;14/04/2002;TF1;Etats-Unis;10,335;44,7
LE FLIC DE BEVERLY HILLS 3;08/01/2002;TF1;Etats-Unis;9,858;40,3
UN INDIEN DANS LA VILLE;22/12/2002;TF1;France;9,858;39,7
LA VÉRITÉ SI JE MENS;16/09/2002;M6;France;5,565;25,2
LE CAVE SE REBIFFE;16/06/2002;M6;France/Italie;5,406;30,7
JACKIE CHAN DANS LE BRONX;18/02/2002;M6;Hong Kong;5,3;20,6
LES BARBOUZES;09/06/2002;M6;France;5,088;25,7
RONIN;25/02/2002;M6;Etats-Unis;4,823;21,5
LE PÈRE NOËL EST UNE ORDURE;21/12/2003;France 2;France;7,67808;29,8
MATRIX;18/05/2003;France 2;Etats-Unis;7,51812;32,8
LES TONTONS FLINGUEURS;02/12/2003;France 2;France;7,51812;31,3
UN CRIME AU PARADIS;11/03/2003;France 2;France;7,51812;30
LES VISITEURS 2;01/04/2003;France 2;France;7,03824;29,9
DR DOLITTLE;23/10/2003;France 3;Etats-Unis;6,45172;24,3
Etats-Unis MARSHALS;22/05/2003;France 3;Etats-Unis;5,5986;26,1
LE FABULEUX DESTIN D'AMÉLIE POULAIN;18/12/2003;France 3;France;5,5986;23,8
LE MUR DE L'ATLANTIQUE;17/03/2003;France 3;France;5,22536;21,8
LA LIGNE VERTE;19/06/2003;France 3;Etats-Unis;4,95876;28,1
BALTO, CHIEN LOUP, HÉROS DES NEIGES;24/12/2003;France 5;Etats-Unis;1,17304;9,9
LITTLE NÉMO AU PAYS DE SLUMBERLAND;31/12/2003;France 5;Japon;0,74648;5,9
DÉLITS FLAGRANTS;10/08/2003;France 5;France;0,05332;12,5
FAITS DIVERS;12/08/2003;France 5;France;0,05332;11,1
LES TEMPS MODERNES;30/12/2003;Arte;Etats-Unis;2,9326;12,1
TENUE DE SOIRÉE;01/05/2003;Arte;France;2,34608;10,4
DEUX HOMMES DANS LA VILLE;28/09/2003;Arte;France;2,29276;9,3
LES AVENTURES D'ARSÈNE LUPIN;19/10/2003;Arte;France;2,18612;8,6
LES LUMIÈRES DE LA VILLE;29/12/2003;Arte;Etats-Unis;2,07948;8,4
LA VÉRITÉ SI JE MENS 2;07/10/2003;TF1;France;10,61068;45,7
LA FOLIE DES GRANDEURS;28/12/2003;TF1;France/Espagne;9,8642;40,7
LE PLACARD;14/10/2003;TF1;France;9,54428;38,7
MISSION IMPOSSIBLE 2;26/10/2003;TF1;Etats-Unis;9,11772;39,6
LES RIVIÈRES POURPRES;09/03/2003;TF1;France;9,01108;37,6
INDIANA JONES ET LA DERNIÈRE CROISADE;05/05/2003;M6;Etats-Unis;6,29176;27,2
INDIANA JONES ET LE TEMPLE MAUDIT;21/04/2003;M6;Etats-Unis;6,18512;27,7
SCÈNES DE CRIMES;03/02/2003;M6;France;5,22536;22,2
LES AVENTURIERS DE L'ARCHE PERDUE;14/04/2003;M6;Etats-Unis;5,17204;21,2
LE 13ÈME GUERRIER;26/05/2003;M6;Etats-Unis;4,74548;19,6
UNE HIRONDELLE A FAIT LE PRINTEMPS;14/09/2004;France 2;France;9,32816;40,1
HARRY POTTER À L'ÉCOLE DES SORCIERS;26/12/2004;France 2;Etats-Unis;8,57328;38,2
LE BOULET;16/11/2004;France 2;France;7,5488;30,1
LE BONHEUR EST DANS LE PRÉ;12/12/2004;France 2;France;7,0096;27,7
HAUTE VOLTIGE;30/11/2004;France 2;Etats-Unis;6,79392;28,3
L'ARME FATALE 3;29/01/2004;France 3;Etats-Unis;6,14688;26,5
LE JOUR LE PLUS LONG;03/06/2004;France 3;Etats-Unis;6,09296;30,3
L'EFFACEUR;11/03/2004;France 3;Etats-Unis;5,44592;22,4
LES PLEINS POUVOIRS;01/04/2004;France 3;Etats-Unis;5,33808;21,9
LE FUGITIF;02/12/2004;France 3;Etats-Unis;4,96064;21,9
ROBIN DES BOIS;30/12/2004;France 5;Etats-Unis;1,13232;8,5
LA TROMPETTE MAGIQUE;20/12/2004;France 5;Etats-Unis;0,97056;7,1
BABAR ROI DES ÉLÉPHANTS;23/12/2004;France 5;France/Canada/Allemagne;0,91664;7,6
JEREMIAH JOHNSON;31/10/2004;Arte;Etats-Unis;3,45088;15,6
MAIGRET ET L'AFFAIRE SAINT FIACRE;08/04/2004;Arte;France;3,12736;13,1
RAZZIA SUR LA CHNOUF;16/05/2004;Arte;France;2,696;12
LE DIABLE PAR LA QUEUE;16/09/2004;Arte;France/Italie;2,58816;11
QUE LA FÊTE COMMENCE;08/01/2004;Arte;France;2,58816;10,6
ASTÉRIX ET OBÉLIX : MISSION CLÉOPÂTRE;05/10/2004;TF1;France;12,4016;50,2
MONSIEUR BATIGNOLE;13/04/2004;TF1;France;12,29376;51,7
LES BRONZÉS FONT DU SKI;17/02/2004;TF1;France;10,83792;41,9
SHREK;26/10/2004;TF1;Etats-Unis;10,29872;38,8
SEUL AU MONDE;25/04/2004;TF1;Etats-Unis;10,08304;47,3
LE MASQUE DE ZORRO;01/11/2004;M6;Etats-Unis;7,5488;29,7
LE MASQUE DE L'ARAIGNÉE;06/09/2004;M6;Etats-Unis;5,49984;24,8
ARMAGEDDON;08/03/2004;M6;Etats-Unis;5,392;24,8
LES EVADÉS;29/11/2004;M6;Etats-Unis;5,28416;24
RONIN;02/02/2004;M6;Etats-Unis;4,96064;21,1
OCEAN'S ELEVEN;20/02/2005;France 2;Etats-Unis;8,8064;32,5
CHOUCHOU;16/04/2005;France 2;France;8,42112;35,2
EFFROYABLES JARDINS;29/03/2005;France 2;France;8,36608;33,3
L'OMBRE D'UN SOUPÇON;13/02/2005;France 2;Etats-Unis;7,59552;29,9
UN CRIME AU PARADIS;30/01/2005;France 2;France;7,32032;27,1
PALE RIDER;14/04/2005;France 3;Etats-Unis;6,43968;26,6
LA HORSE;09/06/2005;France 3;France/Italie/Allemagne;5,83424;26,7
JOSEY WALES, HORS-LA-LOI;02/06/2005;France 3;Etats-Unis;5,33888;25,9
L'ARME FATALE 3;10/11/2005;France 3;Etats-Unis;5,28384;21
EN TOUTE COMPLICITÉ;25/08/2005;France 3;Etats-Unis;5,00864;23,9
ADIEU POULET;17/11/2005;Arte;France;2,69696;10,8
CHARADE;08/12/2005;Arte;Etats-Unis;2,25664;9
LE SIGNE DE ZORRO;23/01/2005;Arte;Etats-Unis;2,25664;8,8
PENDEZ-LES HAUT ET COURT;03/03/2005;Arte;Etats-Unis;2,09152;8,1
ASCENSEUR POUR L'ÉCHAFAUD;03/11/2005;Arte;France;1,98144;8
LE DÎNER DE CONS;30/01/2005;TF1;France;11,50336;41,9
SPIDER-MAN;23/10/2005;TF1;Etats-Unis;11,06304;40,7
HORS D'ATTEINTE;02/01/2005;TF1;Etats-Unis;10,40256;41,6
LE JOURNAL DE BRIDGET JONES;13/03/2005;TF1;Royaume-Uni;10,01728;38,6
LES RIVIÈRES POURPRES;06/03/2005;TF1;France;9,74208;38,5
STAR WARS EPISODE 1: LA MENACE FANTÔME;09/05/2005;M6;Etats-Unis;6,82496;29,4
STAR WARS EPISODE 2: L'ATTAQUE DES CLONES;16/05/2005;M6;Etats-Unis;6,76992;29,3
LA GUERRE DES ÉTOILES;23/05/2005;M6;Etats-Unis;6,54976;26,6
LE RETOUR DU JEDI;06/06/2005;M6;Etats-Unis;6,3296;27,3
L'EMPIRE CONTRE-ATTAQUE;30/05/2005;M6;Etats-Unis;6,21952;25,7
LES CHORISTES;25/04/2006;France 2;France / Suisse;11,4923;42,7
HARRY POTTER ET LA CHAMBRE DES SECRETS;01/01/2006;France 2;Etats-Unis;7,62416;31,6
